No.,Subject,Subject_2,Gender,Type,"No.
entered",No. of candidates fulfilling attendance requirement,Attained with Distinction (II),"Attained with Distinction (I)
or above",Attained or above,Unattained
77,Creative Studies,Computer Game and Animation Design,Total,Number,185,180,14,42,171,9
78,Creative Studies,Computer Game and Animation Design,Total,Percentage,,,7.8%,23.3%,95.0%,5.0%
79,Creative Studies,Fashion and Image Design,Male,Number,35,31,2,5,25,6
80,Creative Studies,Fashion and Image Design,Male,Percentage,,,6.5%,16.1%,80.6%,19.4%
81,Creative Studies,Fashion and Image Design,Female,Number,130,122,12,34,118,4
82,Creative Studies,Fashion and Image Design,Female,Percentage,,,9.8%,27.9%,96.7%,3.3%
83,Creative Studies,Fashion and Image Design,Total,Number,165,153,14,39,143,10
84,Creative Studies,Fashion and Image Design,Total,Percentage,,,9.2%,25.5%,93.5%,6.5%
85,Creative Studies,Interior Design,Male,Number,46,39,3,13,38,1
86,Creative Studies,Interior Design,Male,Percentage,,,7.7%,33.3%,97.4%,2.6%
87,Creative Studies,Interior Design,Female,Number,51,47,5,19,47,0
88,Creative Studies,Interior Design,Female,Percentage,,,10.6%,40.4%,100.0%,0.0%
89,Creative Studies,Interior Design,Total,Number,97,86,8,32,85,1
90,Creative Studies,Interior Design,Total,Percentage,,,9.3%,37.2%,98.8%,1.2%
91,Creative Studies,Introduction to Cantonese Opera,Male,Number,0,0,-,-,-,-
92,Creative Studies,Introduction to Cantonese Opera,Male,Percentage,,,-,-,-,-
93,Creative Studies,Introduction to Cantonese Opera,Female,Number,0,0,-,-,-,-
94,Creative Studies,Introduction to Cantonese Opera,Female,Percentage,,,-,-,-,-
95,Creative Studies,Introduction to Cantonese Opera,Total,Number,0,0,-,-,-,-
96,Creative Studies,Introduction to Cantonese Opera,Total,Percentage,,,-,-,-,-
97,Creative Studies,Jewellery and Accessories Design,Male,Number,6,4,0,0,3,1
98,Creative Studies,Jewellery and Accessories Design,Male,Percentage,,,0.0%,0.0%,75.0%,25.0%
99,Creative Studies,Jewellery and Accessories Design,Female,Number,23,20,1,8,20,0
100,Creative Studies,Jewellery and Accessories Design,Female,Percentage,,,5.0%,40.0%,100.0%,0.0%
101,Creative Studies,Jewellery and Accessories Design,Total,Number,29,24,1,8,23,1
102,Creative Studies,Jewellery and Accessories Design,Total,Percentage,,,4.2%,33.3%,95.8%,4.2%
103,Creative Studies,Taking a Chance on Dance,Male,Number,5,5,0,0,4,1
104,Creative Studies,Taking a Chance on Dance,Male,Percentage,,,0.0%,0.0%,80.0%,20.0%
105,Creative Studies,Taking a Chance on Dance,Female,Number,63,63,9,26,63,0
106,Creative Studies,Taking a Chance on Dance,Female,Percentage,,,14.3%,41.3%,100.0%,0.0%
107,Creative Studies,Taking a Chance on Dance,Total,Number,68,68,9,26,67,1
108,Creative Studies,Taking a Chance on Dance,Total,Percentage,,,13.2%,38.2%,98.5%,1.5%
109,Creative Studies,The Essentials of Dramatic Arts,Male,Number,26,25,0,10,25,0
110,Creative Studies,The Essentials of Dramatic Arts,Male,Percentage,,,0.0%,40.0%,100.0%,0.0%
111,Creative Studies,The Essentials of Dramatic Arts,Female,Number,45,44,7,20,44,0
112,Creative Studies,The Essentials of Dramatic Arts,Female,Percentage,,,15.9%,45.5%,100.0%,0.0%
113,Creative Studies,The Essentials of Dramatic Arts,Total,Number,71,69,7,30,69,0
114,Creative Studies,The Essentials of Dramatic Arts,Total,Percentage,,,10.1%,43.5%,100.0%,0.0%
115,Engineering and Production,Automotive Technology,Male,Number,71,70,2,7,56,14
116,Engineering and Production,Automotive Technology,Male,Percentage,,,2.9%,10.0%,80.0%,20.0%
117,Engineering and Production,Automotive Technology,Female,Number,1,1,0,0,1,0
118,Engineering and Production,Automotive Technology,Female,Percentage,,,0.0%,0.0%,100.0%,0.0%
119,Engineering and Production,Automotive Technology,Total,Number,72,71,2,7,57,14
120,Engineering and Production,Automotive Technology,Total,Percentage,,,2.8%,9.9%,80.3%,19.7%
121,Engineering and Production,Aviation Studies ,Male,Number,223,197,10,45,178,19
122,Engineering and Production,Aviation Studies ,Male,Percentage,,,5.1%,22.8%,90.4%,9.6%
123,Engineering and Production,Aviation Studies ,Female,Number,146,142,11,58,140,2
124,Engineering and Production,Aviation Studies ,Female,Percentage,,,7.7%,40.8%,98.6%,1.4%
125,Engineering and Production,Aviation Studies ,Total,Number,369,339,21,103,318,21
126,Engineering and Production,Aviation Studies ,Total,Percentage,,,6.2%,30.4%,93.8%,6.2%
127,Engineering and Production,Building Technology,Male,Number,9,9,1,4,8,1
128,Engineering and Production,Building Technology,Male,Percentage,,,11.1%,44.4%,88.9%,11.1%
129,Engineering and Production,Building Technology,Female,Number,6,6,3,6,6,0
130,Engineering and Production,Building Technology,Female,Percentage,,,50.0%,100.0%,100.0%,0.0%
131,Engineering and Production,Building Technology,Total,Number,15,15,4,10,14,1
132,Engineering and Production,Building Technology,Total,Percentage,,,26.7%,66.7%,93.3%,6.7%
133,Engineering and Production,Computer Forensic Technology,Male,Number,32,32,2,7,31,1
134,Engineering and Production,Computer Forensic Technology,Male,Percentage,,,6.3%,21.9%,96.9%,3.1%
135,Engineering and Production,Computer Forensic Technology,Female,Number,5,5,2,3,5,0
136,Engineering and Production,Computer Forensic Technology,Female,Percentage,,,40.0%,60.0%,100.0%,0.0%
137,Engineering and Production,Computer Forensic Technology,Total,Number,37,37,4,10,36,1
138,Engineering and Production,Computer Forensic Technology,Total,Percentage,,,10.8%,27.0%,97.3%,2.7%
139,Engineering and Production,Electrical and Energy Engineering,Male,Number,43,42,3,12,42,0
140,Engineering and Production,Electrical and Energy Engineering,Male,Percentage,,,7.1%,28.6%,100.0%,0.0%
141,Engineering and Production,Electrical and Energy Engineering,Female,Number,1,1,0,1,1,0
142,Engineering and Production,Electrical and Energy Engineering,Female,Percentage,,,0.0%,100.0%,100.0%,0.0%
143,Engineering and Production,Electrical and Energy Engineering,Total,Number,44,43,3,13,43,0
144,Engineering and Production,Electrical and Energy Engineering,Total,Percentage,,,7.0%,30.2%,100.0%,0.0%
145,Media and Communication,Film and Video,Male,Number,116,103,3,14,86,17
146,Media and Communication,Film and Video,Male,Percentage,,,2.9%,13.6%,83.5%,16.5%
147,Media and Communication,Film and Video,Female,Number,47,44,1,8,43,1
148,Media and Communication,Film and Video,Female,Percentage,,,2.3%,18.2%,97.7%,2.3%
149,Media and Communication,Film and Video,Total,Number,163,147,4,22,129,18
150,Media and Communication,Film and Video,Total,Percentage,,,2.7%,15.0%,87.8%,12.2%
151,Media and Communication,Magazine Editing and Production,Male,Number,4,4,1,2,4,0
152,Media and Communication,Magazine Editing and Production,Male,Percentage,,,25.0%,50.0%,100.0%,0.0%
153,Media and Communication,Magazine Editing and Production,Female,Number,19,19,7,13,19,0
154,Media and Communication,Magazine Editing and Production,Female,Percentage,,,36.8%,68.4%,100.0%,0.0%
155,Media and Communication,Magazine Editing and Production,Total,Number,23,23,8,15,23,0
156,Media and Communication,Magazine Editing and Production,Total,Percentage,,,34.8%,65.2%,100.0%,0.0%
157,Media and Communication,New Media Communication Strategies,Male,Number,0,0,-,-,-,-
158,Media and Communication,New Media Communication Strategies,Male,Percentage,,,-,-,-,-
159,Media and Communication,New Media Communication Strategies,Female,Number,0,0,-,-,-,-
160,Media and Communication,New Media Communication Strategies,Female,Percentage,,,-,-,-,-
161,Media and Communication,New Media Communication Strategies,Total,Number,0,0,-,-,-,-
162,Media and Communication,New Media Communication Strategies,Total,Percentage,,,-,-,-,-
163,Services,Child Care and Education,Male,Number,11,11,0,4,11,0
164,Services,Child Care and Education,Male,Percentage,,,0.0%,36.4%,100.0%,0.0%
165,Services,Child Care and Education,Female,Number,175,169,9,44,164,5
166,Services,Child Care and Education,Female,Percentage,,,5.3%,26.0%,97.0%,3.0%
167,Services,Child Care and Education,Total,Number,186,180,9,48,175,5
168,Services,Child Care and Education,Total,Percentage,,,5.0%,26.7%,97.2%,2.8%
169,Services,Food and Beverage Operations,Male,Number,50,43,0,0,36,7
170,Services,Food and Beverage Operations,Male,Percentage,,,0.0%,0.0%,83.7%,16.3%
171,Services,Food and Beverage Operations,Female,Number,39,37,1,8,34,3
172,Services,Food and Beverage Operations,Female,Percentage,,,2.7%,21.6%,91.9%,8.1%
173,Services,Food and Beverage Operations,Total,Number,89,80,1,8,70,10
174,Services,Food and Beverage Operations,Total,Percentage,,,1.3%,10.0%,87.5%,12.5%
175,Services,Fundamental Cosmetology,Male,Number,2,1,0,0,1,0
176,Services,Fundamental Cosmetology,Male,Percentage,,,0.0%,0.0%,100.0%,0.0%
177,Services,Fundamental Cosmetology,Female,Number,141,135,5,27,131,4
178,Services,Fundamental Cosmetology,Female,Percentage,,,3.7%,20.0%,97.0%,3.0%
179,Services,Fundamental Cosmetology,Total,Number,143,136,5,27,132,4
180,Services,Fundamental Cosmetology,Total,Percentage,,,3.7%,19.9%,97.1%,2.9%
181,Services,Hospitality Services in Practice,Male,Number,75,70,4,21,60,10
182,Services,Hospitality Services in Practice,Male,Percentage,,,5.7%,30.0%,85.7%,14.3%
183,Services,Hospitality Services in Practice,Female,Number,129,126,9,35,121,5
184,Services,Hospitality Services in Practice,Female,Percentage,,,7.1%,27.8%,96.0%,4.0%
185,Services,Hospitality Services in Practice,Total,Number,204,196,13,56,181,15
186,Services,Hospitality Services in Practice,Total,Percentage,,,6.6%,28.6%,92.3%,7.7%
187,Services,Hotel Operations,Male,Number,88,85,2,6,73,12
188,Services,Hotel Operations,Male,Percentage,,,2.4%,7.1%,85.9%,14.1%
189,Services,Hotel Operations,Female,Number,98,95,6,28,89,6
190,Services,Hotel Operations,Female,Percentage,,,6.3%,29.5%,93.7%,6.3%
191,Services,Hotel Operations,Total,Number,186,180,8,34,162,18
192,Services,Hotel Operations,Total,Percentage,,,4.4%,18.9%,90.0%,10.0%
193,Services,Pâtisserie and Café Operations,Male,Number,53,40,1,5,34,6
194,Services,Pâtisserie and Café Operations,Male,Percentage,,,2.5%,12.5%,85.0%,15.0%
195,Services,Pâtisserie and Café Operations,Female,Number,79,75,8,19,73,2
196,Services,Pâtisserie and Café Operations,Female,Percentage,,,10.7%,25.3%,97.3%,2.7%
197,Services,Pâtisserie and Café Operations,Total,Number,132,115,9,24,107,8
198,Services,Pâtisserie and Café Operations,Total,Percentage,,,7.8%,20.9%,93.0%,7.0%
199,Services,Western Cuisine,Male,Number,389,362,7,34,342,20
200,Services,Western Cuisine,Male,Percentage,,,1.9%,9.4%,94.5%,5.5%
201,Services,Western Cuisine,Female,Number,293,276,15,75,269,7
202,Services,Western Cuisine,Female,Percentage,,,5.4%,27.2%,97.5%,2.5%
203,Services,Western Cuisine,Total,Number,682,638,22,109,611,27
204,Services,Western Cuisine,Total,Percentage,,,3.4%,17.1%,95.8%,4.2%
205,All Category B subjects (except Applied Learning Chinese),,Male,Number,1901,1736,79,343,1564,172
206,All Category B subjects (except Applied Learning Chinese),,Male,Percentage,,,4.6%,19.8%,90.1%,9.9%
207,All Category B subjects (except Applied Learning Chinese),,Female,Number,2022,1920,188,649,1857,63
208,All Category B subjects (except Applied Learning Chinese),,Female,Percentage,,,9.8%,33.8%,96.7%,3.3%
209,All Category B subjects (except Applied Learning Chinese),,Total,Number,3923,3656,267,992,3421,235
210,All Category B subjects (except Applied Learning Chinese),,Total,Percentage,,,7.3%,27.1%,93.6%,6.4%
