No.,Subject,Subject_2,Gender,Type,"No.
entered",No. of candidates fulfilling attendance requirement,Attained with Distinction,Attained or above,Unattained
43,Applied Science,Sports and Fitness Coaching,Male,Number,81,61,14,55,6
44,Applied Science,Sports and Fitness Coaching,Male,Percentage,,,23.0%,90.2%,9.8%
45,Applied Science,Sports and Fitness Coaching,Female,Number,19,15,2,15,0
46,Applied Science,Sports and Fitness Coaching,Female,Percentage,,,13.3%,100.0%,0.0%
47,Applied Science,Sports and Fitness Coaching,Total,Number,100,76,16,70,6
48,Applied Science,Sports and Fitness Coaching,Total,Percentage,,,21.1%,92.1%,7.9%
49,"Business, Management and Law",Applied Business Research,Male,Number,6,6,3,5,1
50,"Business, Management and Law",Applied Business Research,Male,Percentage,,,50.0%,83.3%,16.7%
51,"Business, Management and Law",Applied Business Research,Female,Number,0,0,-,-,-
52,"Business, Management and Law",Applied Business Research,Female,Percentage,,,-,-,-
53,"Business, Management and Law",Applied Business Research,Total,Number,6,6,3,5,1
54,"Business, Management and Law",Applied Business Research,Total,Percentage,,,50.0%,83.3%,16.7%
55,"Business, Management and Law",Entrepreneurship for SME,Male,Number,15,11,2,10,1
56,"Business, Management and Law",Entrepreneurship for SME,Male,Percentage,,,18.2%,90.9%,9.1%
57,"Business, Management and Law",Entrepreneurship for SME,Female,Number,13,12,2,11,1
58,"Business, Management and Law",Entrepreneurship for SME,Female,Percentage,,,16.7%,91.7%,8.3%
59,"Business, Management and Law",Entrepreneurship for SME,Total,Number,28,23,4,21,2
60,"Business, Management and Law",Entrepreneurship for SME,Total,Percentage,,,17.4%,91.3%,8.7%
61,"Business, Management and Law",Financial Markets and Operations,Male,Number,0,0,-,-,-
62,"Business, Management and Law",Financial Markets and Operations,Male,Percentage,,,-,-,-
63,"Business, Management and Law",Financial Markets and Operations,Female,Number,0,0,-,-,-
64,"Business, Management and Law",Financial Markets and Operations,Female,Percentage,,,-,-,-
65,"Business, Management and Law",Financial Markets and Operations,Total,Number,0,0,-,-,-
66,"Business, Management and Law",Financial Markets and Operations,Total,Percentage,,,-,-,-
67,"Business, Management and Law",Law Enforcement in Hong Kong,Male,Number,12,9,4,9,0
68,"Business, Management and Law",Law Enforcement in Hong Kong,Male,Percentage,,,44.4%,100.0%,0.0%
69,"Business, Management and Law",Law Enforcement in Hong Kong,Female,Number,12,12,3,12,0
70,"Business, Management and Law",Law Enforcement in Hong Kong,Female,Percentage,,,25.0%,100.0%,0.0%
71,"Business, Management and Law",Law Enforcement in Hong Kong,Total,Number,24,21,7,21,0
72,"Business, Management and Law",Law Enforcement in Hong Kong,Total,Percentage,,,33.3%,100.0%,0.0%
73,"Business, Management and Law",Marketing and Online Promotion,Male,Number,6,4,0,2,2
74,"Business, Management and Law",Marketing and Online Promotion,Male,Percentage,,,0.0%,50.0%,50.0%
75,"Business, Management and Law",Marketing and Online Promotion,Female,Number,6,6,4,6,0
76,"Business, Management and Law",Marketing and Online Promotion,Female,Percentage,,,66.7%,100.0%,0.0%
77,"Business, Management and Law",Marketing and Online Promotion,Total,Number,12,10,4,8,2
78,"Business, Management and Law",Marketing and Online Promotion,Total,Percentage,,,40.0%,80.0%,20.0%
79,"Business, Management and Law",Practical Computerised Accounting,Male,Number,29,29,6,28,1
80,"Business, Management and Law",Practical Computerised Accounting,Male,Percentage,,,20.7%,96.6%,3.4%
81,"Business, Management and Law",Practical Computerised Accounting,Female,Number,16,16,9,16,0
82,"Business, Management and Law",Practical Computerised Accounting,Female,Percentage,,,56.3%,100.0%,0.0%
83,"Business, Management and Law",Practical Computerised Accounting,Total,Number,45,45,15,44,1
84,"Business, Management and Law",Practical Computerised Accounting,Total,Percentage,,,33.3%,97.8%,2.2%
85,Creative Studies,Commercial Comic Art ,Male,Number,37,34,5,31,3
86,Creative Studies,Commercial Comic Art ,Male,Percentage,,,14.7%,91.2%,8.8%
87,Creative Studies,Commercial Comic Art ,Female,Number,56,54,16,46,8
88,Creative Studies,Commercial Comic Art ,Female,Percentage,,,29.6%,85.2%,14.8%
89,Creative Studies,Commercial Comic Art ,Total,Number,93,88,21,77,11
90,Creative Studies,Commercial Comic Art ,Total,Percentage,,,23.9%,87.5%,12.5%
91,Creative Studies,Computer Game and Animation Design,Male,Number,120,112,17,101,11
92,Creative Studies,Computer Game and Animation Design,Male,Percentage,,,15.2%,90.2%,9.8%
93,Creative Studies,Computer Game and Animation Design,Female,Number,22,22,10,21,1
94,Creative Studies,Computer Game and Animation Design,Female,Percentage,,,45.5%,95.5%,4.5%
95,Creative Studies,Computer Game and Animation Design,Total,Number,142,134,27,122,12
96,Creative Studies,Computer Game and Animation Design,Total,Percentage,,,20.1%,91.0%,9.0%
97,Creative Studies,Fashion and Image Design,Male,Number,41,37,5,28,9
98,Creative Studies,Fashion and Image Design,Male,Percentage,,,13.5%,75.7%,24.3%
99,Creative Studies,Fashion and Image Design,Female,Number,147,141,38,124,17
100,Creative Studies,Fashion and Image Design,Female,Percentage,,,27.0%,87.9%,12.1%
101,Creative Studies,Fashion and Image Design,Total,Number,188,178,43,152,26
102,Creative Studies,Fashion and Image Design,Total,Percentage,,,24.2%,85.4%,14.6%
103,Creative Studies,Interior Design,Male,Number,44,35,9,31,4
104,Creative Studies,Interior Design,Male,Percentage,,,25.7%,88.6%,11.4%
105,Creative Studies,Interior Design,Female,Number,27,24,12,24,0
106,Creative Studies,Interior Design,Female,Percentage,,,50.0%,100.0%,0.0%
107,Creative Studies,Interior Design,Total,Number,71,59,21,55,4
108,Creative Studies,Interior Design,Total,Percentage,,,35.6%,93.2%,6.8%
109,Creative Studies,Introduction to Cantonese Opera,Male,Number,4,4,2,4,0
110,Creative Studies,Introduction to Cantonese Opera,Male,Percentage,,,50.0%,100.0%,0.0%
111,Creative Studies,Introduction to Cantonese Opera,Female,Number,9,9,5,9,0
112,Creative Studies,Introduction to Cantonese Opera,Female,Percentage,,,55.6%,100.0%,0.0%
113,Creative Studies,Introduction to Cantonese Opera,Total,Number,13,13,7,13,0
114,Creative Studies,Introduction to Cantonese Opera,Total,Percentage,,,53.8%,100.0%,0.0%
115,Creative Studies,Jewellery Arts and Design,Male,Number,6,5,1,4,1
116,Creative Studies,Jewellery Arts and Design,Male,Percentage,,,20.0%,80.0%,20.0%
117,Creative Studies,Jewellery Arts and Design,Female,Number,21,21,7,21,0
118,Creative Studies,Jewellery Arts and Design,Female,Percentage,,,33.3%,100.0%,0.0%
119,Creative Studies,Jewellery Arts and Design,Total,Number,27,26,8,25,1
120,Creative Studies,Jewellery Arts and Design,Total,Percentage,,,30.8%,96.2%,3.8%
121,Creative Studies,Taking a Chance on Dance,Male,Number,3,3,2,3,0
122,Creative Studies,Taking a Chance on Dance,Male,Percentage,,,66.7%,100.0%,0.0%
123,Creative Studies,Taking a Chance on Dance,Female,Number,45,44,15,44,0
124,Creative Studies,Taking a Chance on Dance,Female,Percentage,,,34.1%,100.0%,0.0%
125,Creative Studies,Taking a Chance on Dance,Total,Number,48,47,17,47,0
126,Creative Studies,Taking a Chance on Dance,Total,Percentage,,,36.2%,100.0%,0.0%
127,Creative Studies,The Essentials of Dramatic Arts,Male,Number,19,18,3,18,0
128,Creative Studies,The Essentials of Dramatic Arts,Male,Percentage,,,16.7%,100.0%,0.0%
129,Creative Studies,The Essentials of Dramatic Arts,Female,Number,29,28,12,28,0
130,Creative Studies,The Essentials of Dramatic Arts,Female,Percentage,,,42.9%,100.0%,0.0%
131,Creative Studies,The Essentials of Dramatic Arts,Total,Number,48,46,15,46,0
132,Creative Studies,The Essentials of Dramatic Arts,Total,Percentage,,,32.6%,100.0%,0.0%
133,Engineering and Production,Automotive Technology,Male,Number,46,44,3,37,7
134,Engineering and Production,Automotive Technology,Male,Percentage,,,6.8%,84.1%,15.9%
135,Engineering and Production,Automotive Technology,Female,Number,2,2,0,2,0
136,Engineering and Production,Automotive Technology,Female,Percentage,,,0.0%,100.0%,0.0%
137,Engineering and Production,Automotive Technology,Total,Number,48,46,3,39,7
138,Engineering and Production,Automotive Technology,Total,Percentage,,,6.5%,84.8%,15.2%
139,Engineering and Production,Aviation Studies ,Male,Number,179,165,36,150,15
140,Engineering and Production,Aviation Studies ,Male,Percentage,,,21.8%,90.9%,9.1%
141,Engineering and Production,Aviation Studies ,Female,Number,125,115,38,110,5
142,Engineering and Production,Aviation Studies ,Female,Percentage,,,33.0%,95.7%,4.3%
143,Engineering and Production,Aviation Studies ,Total,Number,304,280,74,260,20
144,Engineering and Production,Aviation Studies ,Total,Percentage,,,26.4%,92.9%,7.1%
145,Engineering and Production,Building Technology,Male,Number,12,11,1,11,0
146,Engineering and Production,Building Technology,Male,Percentage,,,9.1%,100.0%,0.0%
147,Engineering and Production,Building Technology,Female,Number,2,2,1,1,1
148,Engineering and Production,Building Technology,Female,Percentage,,,50.0%,50.0%,50.0%
149,Engineering and Production,Building Technology,Total,Number,14,13,2,12,1
150,Engineering and Production,Building Technology,Total,Percentage,,,15.4%,92.3%,7.7%
151,Engineering and Production,Computer Forensic Technology,Male,Number,0,0,-,-,-
152,Engineering and Production,Computer Forensic Technology,Male,Percentage,,,-,-,-
153,Engineering and Production,Computer Forensic Technology,Female,Number,0,0,-,-,-
154,Engineering and Production,Computer Forensic Technology,Female,Percentage,,,-,-,-
155,Engineering and Production,Computer Forensic Technology,Total,Number,0,0,-,-,-
156,Engineering and Production,Computer Forensic Technology,Total,Percentage,,,-,-,-
157,Engineering and Production,Electrical and Energy Engineering,Male,Number,51,40,11,37,3
158,Engineering and Production,Electrical and Energy Engineering,Male,Percentage,,,27.5%,92.5%,7.5%
159,Engineering and Production,Electrical and Energy Engineering,Female,Number,2,1,0,1,0
160,Engineering and Production,Electrical and Energy Engineering,Female,Percentage,,,0.0%,100.0%,0.0%
161,Engineering and Production,Electrical and Energy Engineering,Total,Number,53,41,11,38,3
162,Engineering and Production,Electrical and Energy Engineering,Total,Percentage,,,26.8%,92.7%,7.3%
163,Engineering and Production,Mobile and Online Apps Development,Male,Number,44,37,9,31,6
164,Engineering and Production,Mobile and Online Apps Development,Male,Percentage,,,24.3%,83.8%,16.2%
165,Engineering and Production,Mobile and Online Apps Development,Female,Number,6,5,2,5,0
166,Engineering and Production,Mobile and Online Apps Development,Female,Percentage,,,40.0%,100.0%,0.0%
167,Engineering and Production,Mobile and Online Apps Development,Total,Number,50,42,11,36,6
168,Engineering and Production,Mobile and Online Apps Development,Total,Percentage,,,26.2%,85.7%,14.3%
169,Media and Communication,Film and Video Studies,Male,Number,99,86,9,74,12
170,Media and Communication,Film and Video Studies,Male,Percentage,,,10.5%,86.0%,14.0%
171,Media and Communication,Film and Video Studies,Female,Number,38,35,2,31,4
172,Media and Communication,Film and Video Studies,Female,Percentage,,,5.7%,88.6%,11.4%
173,Media and Communication,Film and Video Studies,Total,Number,137,121,11,105,16
174,Media and Communication,Film and Video Studies,Total,Percentage,,,9.1%,86.8%,13.2%
175,Media and Communication,Magazine Editing and Production,Male,Number,3,3,1,3,0
176,Media and Communication,Magazine Editing and Production,Male,Percentage,,,33.3%,100.0%,0.0%
177,Media and Communication,Magazine Editing and Production,Female,Number,12,11,7,11,0
178,Media and Communication,Magazine Editing and Production,Female,Percentage,,,63.6%,100.0%,0.0%
179,Media and Communication,Magazine Editing and Production,Total,Number,15,14,8,14,0
180,Media and Communication,Magazine Editing and Production,Total,Percentage,,,57.1%,100.0%,0.0%
181,Media and Communication,New Media Communication Strategies,Male,Number,0,0,-,-,-
182,Media and Communication,New Media Communication Strategies,Male,Percentage,,,-,-,-
183,Media and Communication,New Media Communication Strategies,Female,Number,0,0,-,-,-
184,Media and Communication,New Media Communication Strategies,Female,Percentage,,,-,-,-
185,Media and Communication,New Media Communication Strategies,Total,Number,0,0,-,-,-
186,Media and Communication,New Media Communication Strategies,Total,Percentage,,,-,-,-
187,Media and Communication,Radio Host and Programme Production,Male,Number,23,23,4,22,1
188,Media and Communication,Radio Host and Programme Production,Male,Percentage,,,17.4%,95.7%,4.3%
189,Media and Communication,Radio Host and Programme Production,Female,Number,28,27,14,26,1
190,Media and Communication,Radio Host and Programme Production,Female,Percentage,,,51.9%,96.3%,3.7%
191,Media and Communication,Radio Host and Programme Production,Total,Number,51,50,18,48,2
192,Media and Communication,Radio Host and Programme Production,Total,Percentage,,,36.0%,96.0%,4.0%
193,Services,Child Care and Education,Male,Number,16,15,2,14,1
194,Services,Child Care and Education,Male,Percentage,,,13.3%,93.3%,6.7%
195,Services,Child Care and Education,Female,Number,131,127,40,127,0
196,Services,Child Care and Education,Female,Percentage,,,31.5%,100.0%,0.0%
197,Services,Child Care and Education,Total,Number,147,142,42,141,1
198,Services,Child Care and Education,Total,Percentage,,,29.6%,99.3%,0.7%
199,Services,Food and Beverage Operations,Male,Number,75,62,5,56,6
200,Services,Food and Beverage Operations,Male,Percentage,,,8.1%,90.3%,9.7%
201,Services,Food and Beverage Operations,Female,Number,77,66,15,63,3
202,Services,Food and Beverage Operations,Female,Percentage,,,22.7%,95.5%,4.5%
203,Services,Food and Beverage Operations,Total,Number,152,128,20,119,9
204,Services,Food and Beverage Operations,Total,Percentage,,,15.6%,93.0%,7.0%
205,Services,Fundamental Cosmetology,Male,Number,5,4,0,4,0
206,Services,Fundamental Cosmetology,Male,Percentage,,,0.0%,100.0%,0.0%
207,Services,Fundamental Cosmetology,Female,Number,164,154,31,153,1
208,Services,Fundamental Cosmetology,Female,Percentage,,,20.1%,99.4%,0.6%
209,Services,Fundamental Cosmetology,Total,Number,169,158,31,157,1
210,Services,Fundamental Cosmetology,Total,Percentage,,,19.6%,99.4%,0.6%
211,Services,Hospitality Services in Practice,Male,Number,77,72,14,65,7
212,Services,Hospitality Services in Practice,Male,Percentage,,,19.4%,90.3%,9.7%
213,Services,Hospitality Services in Practice,Female,Number,116,115,40,111,4
214,Services,Hospitality Services in Practice,Female,Percentage,,,34.8%,96.5%,3.5%
215,Services,Hospitality Services in Practice,Total,Number,193,187,54,176,11
216,Services,Hospitality Services in Practice,Total,Percentage,,,28.9%,94.1%,5.9%
217,Services,Hotel Operations,Male,Number,121,110,4,94,16
218,Services,Hotel Operations,Male,Percentage,,,3.6%,85.5%,14.5%
219,Services,Hotel Operations,Female,Number,109,100,25,88,12
220,Services,Hotel Operations,Female,Percentage,,,25.0%,88.0%,12.0%
221,Services,Hotel Operations,Total,Number,230,210,29,182,28
222,Services,Hotel Operations,Total,Percentage,,,13.8%,86.7%,13.3%
223,Services,Western Cuisine,Male,Number,406,367,30,336,31
224,Services,Western Cuisine,Male,Percentage,,,8.2%,91.6%,8.4%
225,Services,Western Cuisine,Female,Number,339,311,60,298,13
226,Services,Western Cuisine,Female,Percentage,,,19.3%,95.8%,4.2%
227,Services,Western Cuisine,Total,Number,745,678,90,634,44
228,Services,Western Cuisine,Total,Percentage,,,13.3%,93.5%,6.5%
229,Applied Learning Chinese (for non-Chinese speaking students),Chinese for the Service Industry,Male,Number,47,42,4,41,1
230,Applied Learning Chinese (for non-Chinese speaking students),Chinese for the Service Industry,Male,Percentage,,,9.5%,97.6%,2.4%
231,Applied Learning Chinese (for non-Chinese speaking students),Chinese for the Service Industry,Female,Number,64,62,16,58,4
232,Applied Learning Chinese (for non-Chinese speaking students),Chinese for the Service Industry,Female,Percentage,,,25.8%,93.5%,6.5%
233,Applied Learning Chinese (for non-Chinese speaking students),Chinese for the Service Industry,Total,Number,111,104,20,99,5
234,Applied Learning Chinese (for non-Chinese speaking students),Chinese for the Service Industry,Total,Percentage,,,19.2%,95.2%,4.8%
235,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese in Hospitality,Male,Number,27,27,3,15,12
236,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese in Hospitality,Male,Percentage,,,11.1%,55.6%,44.4%
237,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese in Hospitality,Female,Number,15,15,6,15,0
238,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese in Hospitality,Female,Percentage,,,40.0%,100.0%,0.0%
239,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese in Hospitality,Total,Number,42,42,9,30,12
240,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese in Hospitality,Total,Percentage,,,21.4%,71.4%,28.6%
241,All Category B subjects,,Male,Number,1863,1670,259,1496,174
242,All Category B subjects,,Male,Percentage,,,15.5%,89.6%,10.4%
243,All Category B subjects,,Female,Number,1909,1794,537,1710,84
244,All Category B subjects,,Female,Percentage,,,29.9%,95.3%,4.7%
245,All Category B subjects,,Total,Number,3772,3464,796,3206,258
246,All Category B subjects,,Total,Percentage,,,23.0%,92.6%,7.4%
