No,Subject,Subject_2,Gender,Type,"No.
entered",No. sat,"Chinese version
%",Performance - 5**,Performance - 5*+,Performance - 5+,Performance - 4+,Performance - 3+,Performance - 2+,Performance - 1+,Performance - U
31,Chinese Language,,Male,Number,24042,23235,,126,470,1318,4973,10645,18592,22042,1193
32,Chinese Language,,Male,Percentage,,,-,0.5%,2.0%,5.7%,21.4%,45.8%,80.0%,94.9%,5.1%
33,Chinese Language,,Female,Number,23103,22579,,371,1405,3376,9582,15603,20785,22196,383
34,Chinese Language,,Female,Percentage,,,-,1.6%,6.2%,15.0%,42.4%,69.1%,92.1%,98.3%,1.7%
35,Chinese Language,,Total,Number,47145,45814,,497,1875,4694,14555,26248,39377,44238,1576
36,Chinese Language,,Total,Percentage,,,-,1.1%,4.1%,10.2%,31.8%,57.3%,85.9%,96.6%,3.4%
37,Chinese Literature,,Male,Number,329,305,,7,12,31,67,160,246,290,15
38,Chinese Literature,,Male,Percentage,,,-,2.3%,3.9%,10.2%,22.0%,52.5%,80.7%,95.1%,4.9%
39,Chinese Literature,,Female,Number,1091,1047,,11,62,149,391,725,952,1022,25
40,Chinese Literature,,Female,Percentage,,,-,1.1%,5.9%,14.2%,37.3%,69.2%,90.9%,97.6%,2.4%
41,Chinese Literature,,Total,Number,1420,1352,,18,74,180,458,885,1198,1312,40
42,Chinese Literature,,Total,Percentage,,,-,1.3%,5.5%,13.3%,33.9%,65.5%,88.6%,97.0%,3.0%
43,Design and Applied Technology,,Male,Number,347,320,,1,2,8,36,70,190,274,46
44,Design and Applied Technology,,Male,Percentage,,,94.7,0.3%,0.6%,2.5%,11.3%,21.9%,59.4%,85.6%,14.4%
45,Design and Applied Technology,,Female,Number,178,155,,0,3,5,18,40,98,135,20
46,Design and Applied Technology,,Female,Percentage,,,90.3,0.0%,1.9%,3.2%,11.6%,25.8%,63.2%,87.1%,12.9%
47,Design and Applied Technology,,Total,Number,525,475,,1,5,13,54,110,288,409,66
48,Design and Applied Technology,,Total,Percentage,,,93.3,0.2%,1.1%,2.7%,11.4%,23.2%,60.6%,86.1%,13.9%
49,Economics,,Male,Number,6118,5744,,121,444,1065,2605,3809,4797,5401,343
50,Economics,,Male,Percentage,,,44,2.1%,7.7%,18.5%,45.4%,66.3%,83.5%,94.0%,6.0%
51,Economics,,Female,Number,6522,6298,,114,407,1097,2931,4405,5491,6052,246
52,Economics,,Female,Percentage,,,35,1.8%,6.5%,17.4%,46.5%,69.9%,87.2%,96.1%,3.9%
53,Economics,,Total,Number,12640,12042,,235,851,2162,5536,8214,10288,11453,589
54,Economics,,Total,Percentage,,,39.3,2.0%,7.1%,18.0%,46.0%,68.2%,85.4%,95.1%,4.9%
55,English Language,,Male,Number,25253,24324,,161,725,1933,6042,12029,18491,21965,2359
56,English Language,,Male,Percentage,,,-,0.7%,3.0%,7.9%,24.8%,49.5%,76.0%,90.3%,9.7%
57,English Language,,Female,Number,24381,23768,,307,1111,2745,7592,13788,19936,22603,1165
58,English Language,,Female,Percentage,,,-,1.3%,4.7%,11.5%,31.9%,58.0%,83.9%,95.1%,4.9%
59,English Language,,Total,Number,49634,48092,,468,1836,4678,13634,25817,38427,44568,3524
60,English Language,,Total,Percentage,,,-,1.0%,3.8%,9.7%,28.3%,53.7%,79.9%,92.7%,7.3%
61,Ethics and Religious Studies,,Male,Number,354,326,,1,6,14,55,149,270,305,21
62,Ethics and Religious Studies,,Male,Percentage,,,92.9,0.3%,1.8%,4.3%,16.9%,45.7%,82.8%,93.6%,6.4%
63,Ethics and Religious Studies,,Female,Number,440,420,,4,17,37,140,304,394,411,9
64,Ethics and Religious Studies,,Female,Percentage,,,94,1.0%,4.0%,8.8%,33.3%,72.4%,93.8%,97.9%,2.1%
65,Ethics and Religious Studies,,Total,Number,794,746,,5,23,51,195,453,664,716,30
66,Ethics and Religious Studies,,Total,Percentage,,,93.6,0.7%,3.1%,6.8%,26.1%,60.7%,89.0%,96.0%,4.0%
67,Geography,,Male,Number,3823,3638,,39,148,399,1260,2236,3133,3510,128
68,Geography,,Male,Percentage,,,61.5,1.1%,4.1%,11.0%,34.6%,61.5%,86.1%,96.5%,3.5%
69,Geography,,Female,Number,4876,4743,,58,260,600,1930,3156,4222,4642,101
70,Geography,,Female,Percentage,,,49.2,1.2%,5.5%,12.7%,40.7%,66.5%,89.0%,97.9%,2.1%
71,Geography,,Total,Number,8699,8381,,97,408,999,3190,5392,7355,8152,229
72,Geography,,Total,Percentage,,,54.5,1.2%,4.9%,11.9%,38.1%,64.3%,87.8%,97.3%,2.7%
73,Health Management and Social Care,,Male,Number,269,240,,0,1,5,18,66,169,211,29
74,Health Management and Social Care,,Male,Percentage,,,93.3,0.0%,0.4%,2.1%,7.5%,27.5%,70.4%,87.9%,12.1%
75,Health Management and Social Care,,Female,Number,523,502,,3,12,25,109,252,420,479,23
76,Health Management and Social Care,,Female,Percentage,,,89,0.6%,2.4%,5.0%,21.7%,50.2%,83.7%,95.4%,4.6%
77,Health Management and Social Care,,Total,Number,792,742,,3,13,30,127,318,589,690,52
78,Health Management and Social Care,,Total,Percentage,,,90.4,0.4%,1.8%,4.0%,17.1%,42.9%,79.4%,93.0%,7.0%
79,History,,Male,Number,2377,2238,,21,106,265,948,1604,2082,2206,32
80,History,,Male,Percentage,,,69.4,0.9%,4.7%,11.8%,42.4%,71.7%,93.0%,98.6%,1.4%
81,History,,Female,Number,2805,2720,,41,164,410,1328,2103,2610,2703,17
82,History,,Female,Percentage,,,52.9,1.5%,6.0%,15.1%,48.8%,77.3%,96.0%,99.4%,0.6%
83,History,,Total,Number,5182,4958,,62,270,675,2276,3707,4692,4909,49
84,History,,Total,Percentage,,,60.3,1.3%,5.4%,13.6%,45.9%,74.8%,94.6%,99.0%,1.0%
85,Information and Communication Technology,,Male,Number,4224,3993,,42,161,390,1141,2118,3206,3756,237
86,Information and Communication Technology,,Male,Percentage,,,60.5,1.1%,4.0%,9.8%,28.6%,53.0%,80.3%,94.1%,5.9%
87,Information and Communication Technology,,Female,Number,1381,1337,,6,26,78,353,701,1091,1266,71
88,Information and Communication Technology,,Female,Percentage,,,43.9,0.4%,1.9%,5.8%,26.4%,52.4%,81.6%,94.7%,5.3%
89,Information and Communication Technology,,Total,Number,5605,5330,,48,187,468,1494,2819,4297,5022,308
90,Information and Communication Technology,,Total,Percentage,,,56.4,0.9%,3.5%,8.8%,28.0%,52.9%,80.6%,94.2%,5.8%
91,Liberal Studies,,Male,Number,24120,23483,,133,466,1175,5650,13474,19632,22531,952
92,Liberal Studies,,Male,Percentage,,,87.3,0.6%,2.0%,5.0%,24.1%,57.4%,83.6%,95.9%,4.1%
93,Liberal Studies,,Female,Number,23339,22900,,186,789,2067,8533,16513,20998,22517,383
94,Liberal Studies,,Female,Percentage,,,80.5,0.8%,3.4%,9.0%,37.3%,72.1%,91.7%,98.3%,1.7%
95,Liberal Studies,,Total,Number,47459,46383,,319,1255,3242,14183,29987,40630,45048,1335
96,Liberal Studies,,Total,Percentage,,,83.9,0.7%,2.7%,7.0%,30.6%,64.7%,87.6%,97.1%,2.9%
97,Literature in English,,Male,Number,15,12,,0,0,0,2,6,6,7,5
98,Literature in English,,Male,Percentage,,,-,0.0%,0.0%,0.0%,16.7%,50.0%,50.0%,58.3%,41.7%
99,Literature in English,,Female,Number,247,242,,5,19,47,135,200,223,234,8
100,Literature in English,,Female,Percentage,,,-,2.1%,7.9%,19.4%,55.8%,82.6%,92.1%,96.7%,3.3%
101,Literature in English,,Total,Number,262,254,,5,19,47,137,206,229,241,13
102,Literature in English,,Total,Percentage,,,-,2.0%,7.5%,18.5%,53.9%,81.1%,90.2%,94.9%,5.1%
103,Mathematics,Compulsory Part,Male,Number,25256,24109,,546,1886,4100,9666,13999,19323,22106,2003
104,Mathematics,Compulsory Part,Male,Percentage,,,43.8,2.3%,7.8%,17.0%,40.1%,58.1%,80.1%,91.7%,8.3%
105,Mathematics,Compulsory Part,Female,Number,24041,23257,,193,1055,2883,8835,13614,19238,21774,1483
106,Mathematics,Compulsory Part,Female,Percentage,,,35.4,0.8%,4.5%,12.4%,38.0%,58.5%,82.7%,93.6%,6.4%
107,Mathematics,Compulsory Part,Total,Number,49297,47366,,739,2941,6983,18501,27613,38561,43880,3486
108,Mathematics,Compulsory Part,Total,Percentage,,,39.7,1.6%,6.2%,14.7%,39.1%,58.3%,81.4%,92.6%,7.4%
109,Mathematics,Extended Part (Calculus and Statistics),Male,Number,1567,1390,,48,147,360,722,985,1204,1323,67
110,Mathematics,Extended Part (Calculus and Statistics),Male,Percentage,,,24.2,3.5%,10.6%,25.9%,51.9%,70.9%,86.6%,95.2%,4.8%
111,Mathematics,Extended Part (Calculus and Statistics),Female,Number,1066,999,,31,126,285,530,732,872,952,47
112,Mathematics,Extended Part (Calculus and Statistics),Female,Percentage,,,19.7,3.1%,12.6%,28.5%,53.1%,73.3%,87.3%,95.3%,4.7%
113,Mathematics,Extended Part (Calculus and Statistics),Total,Number,2633,2389,,79,273,645,1252,1717,2076,2275,114
114,Mathematics,Extended Part (Calculus and Statistics),Total,Percentage,,,22.3,3.3%,11.4%,27.0%,52.4%,71.9%,86.9%,95.2%,4.8%
115,Mathematics,Extended Part (Algebra and Calculus),Male,Number,3674,3364,,163,540,1250,1983,2711,3089,3292,72
116,Mathematics,Extended Part (Algebra and Calculus),Male,Percentage,,,15.8,4.8%,16.1%,37.2%,58.9%,80.6%,91.8%,97.9%,2.1%
117,Mathematics,Extended Part (Algebra and Calculus),Female,Number,1383,1311,,27,168,455,743,1053,1213,1286,25
118,Mathematics,Extended Part (Algebra and Calculus),Female,Percentage,,,13.1,2.1%,12.8%,34.7%,56.7%,80.3%,92.5%,98.1%,1.9%
119,Mathematics,Extended Part (Algebra and Calculus),Total,Number,5057,4675,,190,708,1705,2726,3764,4302,4578,97
120,Mathematics,Extended Part (Algebra and Calculus),Total,Percentage,,,15.1,4.1%,15.1%,36.5%,58.3%,80.5%,92.0%,97.9%,2.1%
121,Music,,Male,Number,82,82,,3,11,22,46,69,79,81,1
122,Music,,Male,Percentage,,,11,3.7%,13.4%,26.8%,56.1%,84.1%,96.3%,98.8%,1.2%
123,Music,,Female,Number,115,115,,1,6,22,60,94,111,112,3
124,Music,,Female,Percentage,,,9.6,0.9%,5.2%,19.1%,52.2%,81.7%,96.5%,97.4%,2.6%
125,Music,,Total,Number,197,197,,4,17,44,106,163,190,193,4
126,Music,,Total,Percentage,,,10.2,2.0%,8.6%,22.3%,53.8%,82.7%,96.4%,98.0%,2.0%
127,Physical Education,,Male,Number,814,763,,2,8,14,64,251,469,658,105
128,Physical Education,,Male,Percentage,,,91.2,0.3%,1.0%,1.8%,8.4%,32.9%,61.5%,86.2%,13.8%
129,Physical Education,,Female,Number,251,237,,2,3,12,41,117,192,227,10
130,Physical Education,,Female,Percentage,,,86.5,0.8%,1.3%,5.1%,17.3%,49.4%,81.0%,95.8%,4.2%
131,Physical Education,,Total,Number,1065,1000,,4,11,26,105,368,661,885,115
132,Physical Education,,Total,Percentage,,,90.1,0.4%,1.1%,2.6%,10.5%,36.8%,66.1%,88.5%,11.5%
133,Physics,,Male,Number,7650,7236,,221,857,2004,3612,5241,6489,7057,179
134,Physics,,Male,Percentage,,,30.1,3.1%,11.8%,27.7%,49.9%,72.4%,89.7%,97.5%,2.5%
135,Physics,,Female,Number,2924,2775,,43,215,633,1284,2021,2529,2742,33
136,Physics,,Female,Percentage,,,17.8,1.5%,7.7%,22.8%,46.3%,72.8%,91.1%,98.8%,1.2%
137,Physics,,Total,Number,10574,10011,,264,1072,2637,4896,7262,9018,9799,212
138,Physics,,Total,Percentage,,,26.7,2.6%,10.7%,26.3%,48.9%,72.5%,90.1%,97.9%,2.1%
139,Science,"Combined Science (Biology, Chemistry)",Male,Number,131,129,,0,1,2,10,34,74,109,20
140,Science,"Combined Science (Biology, Chemistry)",Male,Percentage,,,94.6,0.0%,0.8%,1.6%,7.8%,26.4%,57.4%,84.5%,15.5%
141,Science,"Combined Science (Biology, Chemistry)",Female,Number,79,76,,0,0,0,7,26,41,60,16
142,Science,"Combined Science (Biology, Chemistry)",Female,Percentage,,,82.9,0.0%,0.0%,0.0%,9.2%,34.2%,53.9%,78.9%,21.1%
143,Science,"Combined Science (Biology, Chemistry)",Total,Number,210,205,,0,1,2,17,60,115,169,36
144,Science,"Combined Science (Biology, Chemistry)",Total,Percentage,,,90.2,0.0%,0.5%,1.0%,8.3%,29.3%,56.1%,82.4%,17.6%
145,Science,"Combined Science (Biology, Physics)",Male,Number,15,15,,0,1,1,3,9,14,14,1
146,Science,"Combined Science (Biology, Physics)",Male,Percentage,,,86.7,0.0%,6.7%,6.7%,20.0%,60.0%,93.3%,93.3%,6.7%
147,Science,"Combined Science (Biology, Physics)",Female,Number,14,14,,0,0,0,1,3,12,14,0
148,Science,"Combined Science (Biology, Physics)",Female,Percentage,,,100,0.0%,0.0%,0.0%,7.1%,21.4%,85.7%,100.0%,0.0%
149,Science,"Combined Science (Biology, Physics)",Total,Number,29,29,,0,1,1,4,12,26,28,1
150,Science,"Combined Science (Biology, Physics)",Total,Percentage,,,93.1,0.0%,3.4%,3.4%,13.8%,41.4%,89.7%,96.6%,3.4%
151,Science,"Combined Science (Chemistry, Physics)",Male,Number,148,135,,0,2,3,15,48,89,118,17
152,Science,"Combined Science (Chemistry, Physics)",Male,Percentage,,,82.2,0.0%,1.5%,2.2%,11.1%,35.6%,65.9%,87.4%,12.6%
153,Science,"Combined Science (Chemistry, Physics)",Female,Number,67,59,,0,0,0,6,24,40,54,5
154,Science,"Combined Science (Chemistry, Physics)",Female,Percentage,,,79.7,0.0%,0.0%,0.0%,10.2%,40.7%,67.8%,91.5%,8.5%
155,Science,"Combined Science (Chemistry, Physics)",Total,Number,215,194,,0,2,3,21,72,129,172,22
156,Science,"Combined Science (Chemistry, Physics)",Total,Percentage,,,81.4,0.0%,1.0%,1.5%,10.8%,37.1%,66.5%,88.7%,11.3%
157,Science,Combined Science (Biology),Male,Number,146,143,,1,3,4,22,53,101,126,17
158,Science,Combined Science (Biology),Male,Percentage,,,93.7,0.7%,2.1%,2.8%,15.4%,37.1%,70.6%,88.1%,11.9%
159,Science,Combined Science (Biology),Female,Number,93,90,,0,0,2,17,36,60,75,15
160,Science,Combined Science (Biology),Female,Percentage,,,85.6,0.0%,0.0%,2.2%,18.9%,40.0%,66.7%,83.3%,16.7%
161,Science,Combined Science (Biology),Total,Number,239,233,,1,3,6,39,89,161,201,32
162,Science,Combined Science (Biology),Total,Percentage,,,90.6,0.4%,1.3%,2.6%,16.7%,38.2%,69.1%,86.3%,13.7%
163,Science,Combined Science (Chemistry),Male,Number,279,262,,0,1,3,29,82,142,212,50
164,Science,Combined Science (Chemistry),Male,Percentage,,,88.2,0.0%,0.4%,1.1%,11.1%,31.3%,54.2%,80.9%,19.1%
165,Science,Combined Science (Chemistry),Female,Number,146,135,,0,0,0,16,47,77,109,26
166,Science,Combined Science (Chemistry),Female,Percentage,,,81.5,0.0%,0.0%,0.0%,11.9%,34.8%,57.0%,80.7%,19.3%
167,Science,Combined Science (Chemistry),Total,Number,425,397,,0,1,3,45,129,219,321,76
168,Science,Combined Science (Chemistry),Total,Percentage,,,85.9,0.0%,0.3%,0.8%,11.3%,32.5%,55.2%,80.9%,19.1%
169,Science,Combined Science (Physics),Male,Number,163,149,,1,4,10,17,57,102,129,20
170,Science,Combined Science (Physics),Male,Percentage,,,83.2,0.7%,2.7%,6.7%,11.4%,38.3%,68.5%,86.6%,13.4%
171,Science,Combined Science (Physics),Female,Number,81,72,,0,0,1,7,22,49,66,6
172,Science,Combined Science (Physics),Female,Percentage,,,83.3,0.0%,0.0%,1.4%,9.7%,30.6%,68.1%,91.7%,8.3%
173,Science,Combined Science (Physics),Total,Number,244,221,,1,4,11,24,79,151,195,26
174,Science,Combined Science (Physics),Total,Percentage,,,83.3,0.5%,1.8%,5.0%,10.9%,35.7%,68.3%,88.2%,11.8%
175,Science,Combined Science,Male,Number,294,279,,0,4,6,28,91,177,241,38
176,Science,Combined Science,Male,Percentage,,,88.2,0.0%,1.4%,2.2%,10.0%,32.6%,63.4%,86.4%,13.6%
177,Science,Combined Science,Female,Number,160,149,,0,0,0,14,53,93,128,21
178,Science,Combined Science,Female,Percentage,,,83.2,0.0%,0.0%,0.0%,9.4%,35.6%,62.4%,85.9%,14.1%
179,Science,Combined Science,Total,Number,454,428,,0,4,6,42,144,270,369,59
180,Science,Combined Science,Total,Percentage,,,86.4,0.0%,0.9%,1.4%,9.8%,33.6%,63.1%,86.2%,13.8%
181,Science,Integrated Science,Male,Number,59,57,,0,0,2,8,20,38,50,7
182,Science,Integrated Science,Male,Percentage,,,75.4,0.0%,0.0%,3.5%,14.0%,35.1%,66.7%,87.7%,12.3%
183,Science,Integrated Science,Female,Number,43,43,,1,3,6,16,24,34,39,4
184,Science,Integrated Science,Female,Percentage,,,55.8,2.3%,7.0%,14.0%,37.2%,55.8%,79.1%,90.7%,9.3%
185,Science,Integrated Science,Total,Number,102,100,,1,3,8,24,44,72,89,11
186,Science,Integrated Science,Total,Percentage,,,67,1.0%,3.0%,8.0%,24.0%,44.0%,72.0%,89.0%,11.0%
187,Technology and Living,Food Science and Technology,Male,Number,42,36,,0,0,0,1,7,16,24,12
188,Technology and Living,Food Science and Technology,Male,Percentage,,,86.1,0.0%,0.0%,0.0%,2.8%,19.4%,44.4%,66.7%,33.3%
189,Technology and Living,Food Science and Technology,Female,Number,120,118,,1,4,9,27,62,97,115,3
190,Technology and Living,Food Science and Technology,Female,Percentage,,,57.6,0.8%,3.4%,7.6%,22.9%,52.5%,82.2%,97.5%,2.5%
191,Technology and Living,Food Science and Technology,Total,Number,162,154,,1,4,9,28,69,113,139,15
192,Technology and Living,Food Science and Technology,Total,Percentage,,,64.3,0.6%,2.6%,5.8%,18.2%,44.8%,73.4%,90.3%,9.7%
193,Technology and Living,"Fashion, Clothing and Textiles",Male,Number,12,9,,0,0,0,1,1,2,4,5
194,Technology and Living,"Fashion, Clothing and Textiles",Male,Percentage,,,100,0.0%,0.0%,0.0%,11.1%,11.1%,22.2%,44.4%,55.6%
195,Technology and Living,"Fashion, Clothing and Textiles",Female,Number,30,27,,0,1,1,6,13,25,27,0
196,Technology and Living,"Fashion, Clothing and Textiles",Female,Percentage,,,66.7,0.0%,3.7%,3.7%,22.2%,48.1%,92.6%,100.0%,0.0%
197,Technology and Living,"Fashion, Clothing and Textiles",Total,Number,42,36,,0,1,1,7,14,27,31,5
198,Technology and Living,"Fashion, Clothing and Textiles",Total,Percentage,,,75,0.0%,2.8%,2.8%,19.4%,38.9%,75.0%,86.1%,13.9%
199,Tourism and Hospitality Studies,,Male,Number,1459,1320,,1,12,30,128,360,899,1180,140
200,Tourism and Hospitality Studies,,Male,Percentage,,,87.9,0.1%,0.9%,2.3%,9.7%,27.3%,68.1%,89.4%,10.6%
201,Tourism and Hospitality Studies,,Female,Number,2154,2047,,15,52,124,378,862,1668,1958,89
202,Tourism and Hospitality Studies,,Female,Percentage,,,84,0.7%,2.5%,6.1%,18.5%,42.1%,81.5%,95.7%,4.3%
203,Tourism and Hospitality Studies,,Total,Number,3613,3367,,16,64,154,506,1222,2567,3138,229
204,Tourism and Hospitality Studies,,Total,Percentage,,,85.5,0.5%,1.9%,4.6%,15.0%,36.3%,76.2%,93.2%,6.8%
205,Visual Arts,,Male,Number,843,802,,4,11,28,100,270,539,715,87
206,Visual Arts,,Male,Percentage,,,86.5,0.5%,1.4%,3.5%,12.5%,33.7%,67.2%,89.2%,10.8%
207,Visual Arts,,Female,Number,2497,2430,,16,67,175,584,1320,2124,2344,86
208,Visual Arts,,Female,Percentage,,,83.6,0.7%,2.8%,7.2%,24.0%,54.3%,87.4%,96.5%,3.5%
209,Visual Arts,,Total,Number,3340,3232,,20,78,203,684,1590,2663,3059,173
210,Visual Arts,,Total,Percentage,,,84.3,0.6%,2.4%,6.3%,21.2%,49.2%,82.4%,94.6%,5.4%
211,All Category A subjects,,Male,Number,147814,141478,,1902,6936,16519,44689,79800,115418,132768,8710
212,All Category A subjects,,Male,Percentage,,,57,1.3%,4.9%,11.7%,31.6%,56.4%,81.6%,93.8%,6.2%
213,All Category A subjects,,Female,Number,143291,139203,,1723,7189,18306,53871,91375,122646,134518,4685
214,All Category A subjects,,Female,Percentage,,,50.5,1.2%,5.2%,13.2%,38.7%,65.6%,88.1%,96.6%,3.4%
215,All Category A subjects,,Total,Number,291105,280681,,3625,14125,34825,98560,171175,238064,267286,13395
216,All Category A subjects,,Total,Percentage,,,53.8,1.3%,5.0%,12.4%,35.1%,61.0%,84.8%,95.2%,4.8%
