No.,Subject,Subject_2,Gender,Type,No. entered,No. of candidates fulfilling attendance requirement,Attained with Distinction (II),Attained with Distinction (I) or above,Attained or above,Unattained,
78,"Business, Management and Law",Marketing and Online Promotion,Total,Percentage,,,16.7%,44.4%,91.7%,8.3%,
79,Creative Studies,Computer Game and Animation Design,Male,Number,119,107,3,24,104,3,
80,Creative Studies,Computer Game and Animation Design,Male,Percentage,,,2.8%,22.4%,97.2%,2.8%,
81,Creative Studies,Computer Game and Animation Design,Female,Number,40,39,7,24,38,1,
82,Creative Studies,Computer Game and Animation Design,Female,Percentage,,,17.9%,61.5%,97.4%,2.6%,
83,Creative Studies,Computer Game and Animation Design,Total,Number,159,146,10,48,142,4,
84,Creative Studies,Computer Game and Animation Design,Total,Percentage,,,6.8%,32.9%,97.3%,2.7%,
85,Creative Studies,Digital Comic Design and Production,Male,Number,34,34,6,11,33,1,
86,Creative Studies,Digital Comic Design and Production,Male,Percentage,,,17.6%,32.4%,97.1%,2.9%,
87,Creative Studies,Digital Comic Design and Production,Female,Number,68,65,7,25,63,2,
88,Creative Studies,Digital Comic Design and Production,Female,Percentage,,,10.8%,38.5%,96.9%,3.1%,
89,Creative Studies,Digital Comic Design and Production,Total,Number,102,99,13,36,96,3,
90,Creative Studies,Digital Comic Design and Production,Total,Percentage,,,13.1%,36.4%,97.0%,3.0%,
91,Creative Studies,Display and Jewellery Design,Male,Number,5,4,0,0,4,0,
92,Creative Studies,Display and Jewellery Design,Male,Percentage,,,0.0%,0.0%,100.0%,0.0%,
93,Creative Studies,Display and Jewellery Design,Female,Number,14,13,1,5,12,1,
94,Creative Studies,Display and Jewellery Design,Female,Percentage,,,7.7%,38.5%,92.3%,7.7%,
95,Creative Studies,Display and Jewellery Design,Total,Number,19,17,1,5,16,1,
96,Creative Studies,Display and Jewellery Design,Total,Percentage,,,5.9%,29.4%,94.1%,5.9%,
97,Creative Studies,Fashion Image Design,Male,Number,33,30,1,3,30,0,
98,Creative Studies,Fashion Image Design,Male,Percentage,,,3.3%,10.0%,100.0%,0.0%,
99,Creative Studies,Fashion Image Design,Female,Number,110,107,9,33,106,1,
100,Creative Studies,Fashion Image Design,Female,Percentage,,,8.4%,30.8%,99.1%,0.9%,
101,Creative Studies,Fashion Image Design,Total,Number,143,137,10,36,136,1,
102,Creative Studies,Fashion Image Design,Total,Percentage,,,7.3%,26.3%,99.3%,0.7%,
103,Creative Studies,Interior Design,Male,Number,53,48,1,6,31,17,
104,Creative Studies,Interior Design,Male,Percentage,,,2.1%,12.5%,64.6%,35.4%,
105,Creative Studies,Interior Design,Female,Number,55,52,7,23,47,5,
106,Creative Studies,Interior Design,Female,Percentage,,,13.5%,44.2%,90.4%,9.6%,
107,Creative Studies,Interior Design,Total,Number,108,100,8,29,78,22,
108,Creative Studies,Interior Design,Total,Percentage,,,8.0%,29.0%,78.0%,22.0%,
109,Creative Studies,Taking a Chance on Dance,Male,Number,8,7,1,2,6,1,
110,Creative Studies,Taking a Chance on Dance,Male,Percentage,,,14.3%,28.6%,85.7%,14.3%,
111,Creative Studies,Taking a Chance on Dance,Female,Number,46,43,4,17,42,1,
112,Creative Studies,Taking a Chance on Dance,Female,Percentage,,,9.3%,39.5%,97.7%,2.3%,
113,Creative Studies,Taking a Chance on Dance,Total,Number,54,50,5,19,48,2,
114,Creative Studies,Taking a Chance on Dance,Total,Percentage,,,10.0%,38.0%,96.0%,4.0%,
115,Creative Studies,The Essentials of Theatre Arts,Male,Number,15,13,2,5,13,0,
116,Creative Studies,The Essentials of Theatre Arts,Male,Percentage,,,15.4%,38.5%,100.0%,0.0%,
117,Creative Studies,The Essentials of Theatre Arts,Female,Number,51,50,9,23,50,0,
118,Creative Studies,The Essentials of Theatre Arts,Female,Percentage,,,18.0%,46.0%,100.0%,0.0%,
119,Creative Studies,The Essentials of Theatre Arts,Total,Number,66,63,11,28,63,0,
120,Creative Studies,The Essentials of Theatre Arts,Total,Percentage,,,17.5%,44.4%,100.0%,0.0%,
121,Engineering and Production,Aviation Studies,Male,Number,186,178,13,36,171,7,
122,Engineering and Production,Aviation Studies,Male,Percentage,,,7.3%,20.2%,96.1%,3.9%,
123,Engineering and Production,Aviation Studies,Female,Number,76,69,5,16,66,3,
124,Engineering and Production,Aviation Studies,Female,Percentage,,,7.2%,23.2%,95.7%,4.3%,
125,Engineering and Production,Aviation Studies,Total,Number,262,247,18,52,237,10,
126,Engineering and Production,Aviation Studies,Total,Percentage,,,7.3%,21.1%,96.0%,4.0%,
127,Engineering and Production,Computer Forensic Technology,Male,Number,29,26,3,7,25,1,
128,Engineering and Production,Computer Forensic Technology,Male,Percentage,,,11.5%,26.9%,96.2%,3.8%,
129,Engineering and Production,Computer Forensic Technology,Female,Number,2,2,0,2,2,0,
130,Engineering and Production,Computer Forensic Technology,Female,Percentage,,,0.0%,100.0%,100.0%,0.0%,
131,Engineering and Production,Computer Forensic Technology,Total,Number,31,28,3,9,27,1,
132,Engineering and Production,Computer Forensic Technology,Total,Percentage,,,10.7%,32.1%,96.4%,3.6%,
133,Engineering and Production,Constructing Smart Cities,Male,Number,16,16,2,5,16,0,
134,Engineering and Production,Constructing Smart Cities,Male,Percentage,,,12.5%,31.3%,100.0%,0.0%,
135,Engineering and Production,Constructing Smart Cities,Female,Number,3,2,2,2,2,0,
136,Engineering and Production,Constructing Smart Cities,Female,Percentage,,,100.0%,100.0%,100.0%,0.0%,
137,Engineering and Production,Constructing Smart Cities,Total,Number,19,18,4,7,18,0,
138,Engineering and Production,Constructing Smart Cities,Total,Percentage,,,22.2%,38.9%,100.0%,0.0%,
139,Engineering and Production,Electrical and Energy Engineering,Male,Number,66,62,2,7,60,2,
140,Engineering and Production,Electrical and Energy Engineering,Male,Percentage,,,3.2%,11.3%,96.8%,3.2%,
141,Engineering and Production,Electrical and Energy Engineering,Female,Number,2,2,0,2,2,0,
142,Engineering and Production,Electrical and Energy Engineering,Female,Percentage,,,0.0%,100.0%,100.0%,0.0%,
143,Engineering and Production,Electrical and Energy Engineering,Total,Number,68,64,2,9,62,2,
144,Engineering and Production,Electrical and Energy Engineering,Total,Percentage,,,3.1%,14.1%,96.9%,3.1%,
145,Engineering and Production,Railway Studies,Male,Number,36,35,1,4,28,7,
146,Engineering and Production,Railway Studies,Male,Percentage,,,2.9%,11.4%,80.0%,20.0%,
147,Engineering and Production,Railway Studies,Female,Number,1,1,0,0,1,0,
148,Engineering and Production,Railway Studies,Female,Percentage,,,0.0%,0.0%,100.0%,0.0%,
149,Engineering and Production,Railway Studies,Total,Number,37,36,1,4,29,7,
150,Engineering and Production,Railway Studies,Total,Percentage,,,2.8%,11.1%,80.6%,19.4%,
151,Engineering and Production,Tech Basics,Male,Number,66,60,5,14,57,3,
152,Engineering and Production,Tech Basics,Male,Percentage,,,8.3%,23.3%,95.0%,5.0%,
153,Engineering and Production,Tech Basics,Female,Number,26,22,0,5,19,3,
154,Engineering and Production,Tech Basics,Female,Percentage,,,0.0%,22.7%,86.4%,13.6%,
155,Engineering and Production,Tech Basics,Total,Number,92,82,5,19,76,6,
156,Engineering and Production,Tech Basics,Total,Percentage,,,6.1%,23.2%,92.7%,7.3%,
157,Media and Communication,Creative Advertising,Male,Number,0,0,-,-,-,-,
158,Media and Communication,Creative Advertising,Male,Percentage,,,-,-,-,-,
159,Media and Communication,Creative Advertising,Female,Number,0,0,-,-,-,-,
160,Media and Communication,Creative Advertising,Female,Percentage,,,-,-,-,-,
161,Media and Communication,Creative Advertising,Total,Number,0,0,-,-,-,-,
162,Media and Communication,Creative Advertising,Total,Percentage,,,-,-,-,-,
163,Media and Communication,Film and Transmedia,Male,Number,80,74,6,11,64,10,
164,Media and Communication,Film and Transmedia,Male,Percentage,,,8.1%,14.9%,86.5%,13.5%,
165,Media and Communication,Film and Transmedia,Female,Number,52,49,8,22,46,3,
166,Media and Communication,Film and Transmedia,Female,Percentage,,,16.3%,44.9%,93.9%,6.1%,
167,Media and Communication,Film and Transmedia,Total,Number,132,123,14,33,110,13,
168,Media and Communication,Film and Transmedia,Total,Percentage,,,11.4%,26.8%,89.4%,10.6%,
169,Media and Communication,Magazine Editing and Production,Male,Number,2,2,2,2,2,0,
170,Media and Communication,Magazine Editing and Production,Male,Percentage,,,100.0%,100.0%,100.0%,0.0%,
171,Media and Communication,Magazine Editing and Production,Female,Number,14,11,1,5,11,0,
172,Media and Communication,Magazine Editing and Production,Female,Percentage,,,9.1%,45.5%,100.0%,0.0%,
173,Media and Communication,Magazine Editing and Production,Total,Number,16,13,3,7,13,0,
174,Media and Communication,Magazine Editing and Production,Total,Percentage,,,23.1%,53.8%,100.0%,0.0%,
175,Media and Communication,PR and Multimedia Communication,Male,Number,4,4,2,2,4,0,
176,Media and Communication,PR and Multimedia Communication,Male,Percentage,,,50.0%,50.0%,100.0%,0.0%,
177,Media and Communication,PR and Multimedia Communication,Female,Number,16,15,2,8,15,0,
178,Media and Communication,PR and Multimedia Communication,Female,Percentage,,,13.3%,53.3%,100.0%,0.0%,
179,Media and Communication,PR and Multimedia Communication,Total,Number,20,19,4,10,19,0,
180,Media and Communication,PR and Multimedia Communication,Total,Percentage,,,21.1%,52.6%,100.0%,0.0%,
181,Services,Airport Passenger Terminal Operations,Male,Number,32,28,1,8,21,7,
182,Services,Airport Passenger Terminal Operations,Male,Percentage,,,3.6%,28.6%,75.0%,25.0%,
183,Services,Airport Passenger Terminal Operations,Female,Number,21,20,1,5,16,4,
184,Services,Airport Passenger Terminal Operations,Female,Percentage,,,5.0%,25.0%,80.0%,20.0%,
185,Services,Airport Passenger Terminal Operations,Total,Number,53,48,2,13,37,11,
186,Services,Airport Passenger Terminal Operations,Total,Percentage,,,4.2%,27.1%,77.1%,22.9%,
187,Services,Child Care and Development,Male,Number,1,1,0,0,1,0,
188,Services,Child Care and Development,Male,Percentage,,,0.0%,0.0%,100.0%,0.0%,
189,Services,Child Care and Development,Female,Number,34,34,6,15,34,0,
190,Services,Child Care and Development,Female,Percentage,,,17.6%,44.1%,100.0%,0.0%,
191,Services,Child Care and Development,Total,Number,35,35,6,15,35,0,
192,Services,Child Care and Development,Total,Percentage,,,17.1%,42.9%,100.0%,0.0%,
193,Services,Child Care and Education,Male,Number,8,8,0,0,8,0,
194,Services,Child Care and Education,Male,Percentage,,,0.0%,0.0%,100.0%,0.0%,
195,Services,Child Care and Education,Female,Number,156,154,12,53,151,3,
196,Services,Child Care and Education,Female,Percentage,,,7.8%,34.4%,98.1%,1.9%,
197,Services,Child Care and Education,Total,Number,164,162,12,53,159,3,
198,Services,Child Care and Education,Total,Percentage,,,7.4%,32.7%,98.1%,1.9%,
199,Services,Fundamental Cosmetology,Male,Number,10,4,0,1,2,2,
200,Services,Fundamental Cosmetology,Male,Percentage,,,0.0%,25.0%,50.0%,50.0%,
201,Services,Fundamental Cosmetology,Female,Number,115,97,7,27,96,1,
202,Services,Fundamental Cosmetology,Female,Percentage,,,7.2%,27.8%,99.0%,1.0%,
203,Services,Fundamental Cosmetology,Total,Number,125,101,7,28,98,3,
204,Services,Fundamental Cosmetology,Total,Percentage,,,6.9%,27.7%,97.0%,3.0%,
205,Services,Hospitality Services in Practice,Male,Number,39,37,1,8,31,6,
206,Services,Hospitality Services in Practice,Male,Percentage,,,2.7%,21.6%,83.8%,16.2%,
207,Services,Hospitality Services in Practice,Female,Number,36,34,4,15,33,1,
208,Services,Hospitality Services in Practice,Female,Percentage,,,11.8%,44.1%,97.1%,2.9%,
209,Services,Hospitality Services in Practice,Total,Number,75,71,5,23,64,7,
210,Services,Hospitality Services in Practice,Total,Percentage,,,7.0%,32.4%,90.1%,9.9%,
211,Services,Hotel Operations,Male,Number,52,46,2,3,38,8,
212,Services,Hotel Operations,Male,Percentage,,,4.3%,6.5%,82.6%,17.4%,
213,Services,Hotel Operations,Female,Number,43,35,1,6,30,5,
214,Services,Hotel Operations,Female,Percentage,,,2.9%,17.1%,85.7%,14.3%,
215,Services,Hotel Operations,Total,Number,95,81,3,9,68,13,
216,Services,Hotel Operations,Total,Percentage,,,3.7%,11.1%,84.0%,16.0%,
217,Services,Pâtisserie and Café Operations,Male,Number,104,91,4,14,74,17,
218,Services,Pâtisserie and Café Operations,Male,Percentage,,,4.4%,15.4%,81.3%,18.7%,
219,Services,Pâtisserie and Café Operations,Female,Number,175,165,15,50,158,7,
220,Services,Pâtisserie and Café Operations,Female,Percentage,,,9.1%,30.3%,95.8%,4.2%,
221,Services,Pâtisserie and Café Operations,Total,Number,279,256,19,64,232,24,
222,Services,Pâtisserie and Café Operations,Total,Percentage,,,7.4%,25.0%,90.6%,9.4%,
223,Services,Western Cuisine,Male,Number,240,205,5,23,183,22,
224,Services,Western Cuisine,Male,Percentage,,,2.4%,11.2%,89.3%,10.7%,
225,Services,Western Cuisine,Female,Number,254,228,14,45,211,17,
226,Services,Western Cuisine,Female,Percentage,,,6.1%,19.7%,92.5%,7.5%,
227,Services,Western Cuisine,Total,Number,494,433,19,68,394,39,
228,Services,Western Cuisine,Total,Percentage,,,4.4%,15.7%,91.0%,9.0%,
229,All Category B subjects (except Applied Learning Chinese),,Male,Number,1693,1514,100,313,1348,166,
230,All Category B subjects (except Applied Learning Chinese),,Male,Percentage,,,6.6%,20.7%,89.0%,11.0%,
231,All Category B subjects (except Applied Learning Chinese),,Female,Number,1845,1715,197,622,1634,81,
232,All Category B subjects (except Applied Learning Chinese),,Female,Percentage,,,11.5%,36.3%,95.3%,4.7%,
233,All Category B subjects (except Applied Learning Chinese),,Total,Number,3538,3229,297,935,2982,247,
234,All Category B subjects (except Applied Learning Chinese),,Total,Percentage,,,9.2%,29.0%,92.4%,7.6%,
