No.,Subject,Subject_2,Gender,Type,No. Entered,No. Sat,Chinese Version %,Performance - 5**,Performance - 5*+,Performance - 5+,Performance - 4+,Performance - 3+,Performance - 2+,Performance - 1+,Performance - U
117,Mathematics,Extended Part (Algebra and Calculus),Female,Number,1322,1211,,15,95,338,613,910,1094,1169,42
118,Mathematics,Extended Part (Algebra and Calculus),Female,Percentage,,,15.1,1.2%,7.8%,27.9%,50.6%,75.1%,90.3%,96.5%,3.5%
119,Mathematics,Extended Part (Algebra and Calculus),Total,Number,4936,4501,,185,667,1585,2600,3549,4140,4393,108
120,Mathematics,Extended Part (Algebra and Calculus),Total,Percentage,,,14.6,4.1%,14.8%,35.2%,57.8%,78.8%,92.0%,97.6%,2.4%
121,Music,,Male,Number,89,87,,3,13,29,53,74,84,87,0
122,Music,,Male,Percentage,,,8,3.4%,14.9%,33.3%,60.9%,85.1%,96.6%,100.0%,0.0%
123,Music,,Female,Number,80,78,,2,7,19,42,68,77,78,0
124,Music,,Female,Percentage,,,9,2.6%,9.0%,24.4%,53.8%,87.2%,98.7%,100.0%,0.0%
125,Music,,Total,Number,169,165,,5,20,48,95,142,161,165,0
126,Music,,Total,Percentage,,,8.5,3.0%,12.1%,29.1%,57.6%,86.1%,97.6%,100.0%,0.0%
127,Physical Education,,Male,Number,831,753,,2,8,17,98,282,499,668,85
128,Physical Education,,Male,Percentage,,,90.6,0.3%,1.1%,2.3%,13.0%,37.5%,66.3%,88.7%,11.3%
129,Physical Education,,Female,Number,259,243,,1,6,18,56,127,186,215,28
130,Physical Education,,Female,Percentage,,,80.2,0.4%,2.5%,7.4%,23.0%,52.3%,76.5%,88.5%,11.5%
131,Physical Education,,Total,Number,1090,996,,3,14,35,154,409,685,883,113
132,Physical Education,,Total,Percentage,,,88.1,0.3%,1.4%,3.5%,15.5%,41.1%,68.8%,88.7%,11.3%
133,Physics,,Male,Number,7268,6835,,228,849,2068,3515,4968,6155,6660,175
134,Physics,,Male,Percentage,,,28.8,3.3%,12.4%,30.3%,51.4%,72.7%,90.1%,97.4%,2.6%
135,Physics,,Female,Number,2779,2632,,31,168,528,1155,1792,2351,2569,63
136,Physics,,Female,Percentage,,,20.6,1.2%,6.4%,20.1%,43.9%,68.1%,89.3%,97.6%,2.4%
137,Physics,,Total,Number,10047,9467,,259,1017,2596,4670,6760,8506,9229,238
138,Physics,,Total,Percentage,,,26.5,2.7%,10.7%,27.4%,49.3%,71.4%,89.8%,97.5%,2.5%
139,Science,"Combined Science (Biology, Chemistry)",Male,Number,80,77,,2,2,4,12,27,41,66,11
140,Science,"Combined Science (Biology, Chemistry)",Male,Percentage,,,87,2.6%,2.6%,5.2%,15.6%,35.1%,53.2%,85.7%,14.3%
141,Science,"Combined Science (Biology, Chemistry)",Female,Number,66,62,,0,0,0,3,14,27,49,13
142,Science,"Combined Science (Biology, Chemistry)",Female,Percentage,,,88.7,0.0%,0.0%,0.0%,4.8%,22.6%,43.5%,79.0%,21.0%
143,Science,"Combined Science (Biology, Chemistry)",Total,Number,146,139,,2,2,4,15,41,68,115,24
144,Science,"Combined Science (Biology, Chemistry)",Total,Percentage,,,87.8,1.4%,1.4%,2.9%,10.8%,29.5%,48.9%,82.7%,17.3%
145,Science,"Combined Science (Biology, Physics)",Male,Number,14,14,,1,2,2,5,10,13,13,1
146,Science,"Combined Science (Biology, Physics)",Male,Percentage,,,92.9,7.1%,14.3%,14.3%,35.7%,71.4%,92.9%,92.9%,7.1%
147,Science,"Combined Science (Biology, Physics)",Female,Number,10,9,,0,0,0,0,4,9,9,0
148,Science,"Combined Science (Biology, Physics)",Female,Percentage,,,100,0.0%,0.0%,0.0%,0.0%,44.4%,100.0%,100.0%,0.0%
149,Science,"Combined Science (Biology, Physics)",Total,Number,24,23,,1,2,2,5,14,22,22,1
150,Science,"Combined Science (Biology, Physics)",Total,Percentage,,,95.7,4.3%,8.7%,8.7%,21.7%,60.9%,95.7%,95.7%,4.3%
151,Science,"Combined Science (Chemistry, Physics)",Male,Number,65,58,,0,1,2,8,26,45,53,5
152,Science,"Combined Science (Chemistry, Physics)",Male,Percentage,,,67.2,0.0%,1.7%,3.4%,13.8%,44.8%,77.6%,91.4%,8.6%
153,Science,"Combined Science (Chemistry, Physics)",Female,Number,43,42,,0,0,0,5,19,31,41,1
154,Science,"Combined Science (Chemistry, Physics)",Female,Percentage,,,78.6,0.0%,0.0%,0.0%,11.9%,45.2%,73.8%,97.6%,2.4%
155,Science,"Combined Science (Chemistry, Physics)",Total,Number,108,100,,0,1,2,13,45,76,94,6
156,Science,"Combined Science (Chemistry, Physics)",Total,Percentage,,,72,0.0%,1.0%,2.0%,13.0%,45.0%,76.0%,94.0%,6.0%
157,Science,Combined Science (Biology),Male,Number,94,89,,4,6,10,31,44,69,85,4
158,Science,Combined Science (Biology),Male,Percentage,,,88.8,4.5%,6.7%,11.2%,34.8%,49.4%,77.5%,95.5%,4.5%
159,Science,Combined Science (Biology),Female,Number,76,71,,0,0,1,9,28,49,61,10
160,Science,Combined Science (Biology),Female,Percentage,,,90.1,0.0%,0.0%,1.4%,12.7%,39.4%,69.0%,85.9%,14.1%
161,Science,Combined Science (Biology),Total,Number,170,160,,4,6,11,40,72,118,146,14
162,Science,Combined Science (Biology),Total,Percentage,,,89.4,2.5%,3.8%,6.9%,25.0%,45.0%,73.8%,91.3%,8.8%
163,Science,Combined Science (Chemistry),Male,Number,145,134,,0,4,4,18,52,82,111,23
164,Science,Combined Science (Chemistry),Male,Percentage,,,78.4,0.0%,3.0%,3.0%,13.4%,38.8%,61.2%,82.8%,17.2%
165,Science,Combined Science (Chemistry),Female,Number,109,103,,0,0,1,8,30,54,84,19
166,Science,Combined Science (Chemistry),Female,Percentage,,,84.5,0.0%,0.0%,1.0%,7.8%,29.1%,52.4%,81.6%,18.4%
167,Science,Combined Science (Chemistry),Total,Number,254,237,,0,4,5,26,82,136,195,42
168,Science,Combined Science (Chemistry),Total,Percentage,,,81,0.0%,1.7%,2.1%,11.0%,34.6%,57.4%,82.3%,17.7%
169,Science,Combined Science (Physics),Male,Number,79,69,,2,4,8,11,29,53,64,5
170,Science,Combined Science (Physics),Male,Percentage,,,72.5,2.9%,5.8%,11.6%,15.9%,42.0%,76.8%,92.8%,7.2%
171,Science,Combined Science (Physics),Female,Number,53,51,,0,0,0,4,16,36,49,2
172,Science,Combined Science (Physics),Female,Percentage,,,82.4,0.0%,0.0%,0.0%,7.8%,31.4%,70.6%,96.1%,3.9%
173,Science,Combined Science (Physics),Total,Number,132,120,,2,4,8,15,45,89,113,7
174,Science,Combined Science (Physics),Total,Percentage,,,76.7,1.7%,3.3%,6.7%,12.5%,37.5%,74.2%,94.2%,5.8%
175,Science,Combined Science,Male,Number,159,149,,3,5,8,25,63,99,132,17
176,Science,Combined Science,Male,Percentage,,,79.9,2.0%,3.4%,5.4%,16.8%,42.3%,66.4%,88.6%,11.4%
177,Science,Combined Science,Female,Number,119,113,,0,0,0,8,37,67,99,14
178,Science,Combined Science,Female,Percentage,,,85.8,0.0%,0.0%,0.0%,7.1%,32.7%,59.3%,87.6%,12.4%
179,Science,Combined Science,Total,Number,278,262,,3,5,8,33,100,166,231,31
180,Science,Combined Science,Total,Percentage,,,82.4,1.1%,1.9%,3.1%,12.6%,38.2%,63.4%,88.2%,11.8%
181,Science,Integrated Science,Male,Number,57,55,,0,1,2,5,13,34,50,5
182,Science,Integrated Science,Male,Percentage,,,85.5,0.0%,1.8%,3.6%,9.1%,23.6%,61.8%,90.9%,9.1%
183,Science,Integrated Science,Female,Number,28,24,,2,2,3,4,11,14,21,3
184,Science,Integrated Science,Female,Percentage,,,58.3,8.3%,8.3%,12.5%,16.7%,45.8%,58.3%,87.5%,12.5%
185,Science,Integrated Science,Total,Number,85,79,,2,3,5,9,24,48,71,8
186,Science,Integrated Science,Total,Percentage,,,77.2,2.5%,3.8%,6.3%,11.4%,30.4%,60.8%,89.9%,10.1%
187,Technology and Living,Food Science and Technology,Male,Number,26,23,,0,0,0,2,2,5,17,6
188,Technology and Living,Food Science and Technology,Male,Percentage,,,87,0.0%,0.0%,0.0%,8.7%,8.7%,21.7%,73.9%,26.1%
189,Technology and Living,Food Science and Technology,Female,Number,114,111,,2,6,11,32,64,93,106,5
190,Technology and Living,Food Science and Technology,Female,Percentage,,,52.3,1.8%,5.4%,9.9%,28.8%,57.7%,83.8%,95.5%,4.5%
191,Technology and Living,Food Science and Technology,Total,Number,140,134,,2,6,11,34,66,98,123,11
192,Technology and Living,Food Science and Technology,Total,Percentage,,,58.2,1.5%,4.5%,8.2%,25.4%,49.3%,73.1%,91.8%,8.2%
193,Technology and Living,"Fashion, Clothing and Textiles",Male,Number,12,9,,0,0,0,0,0,2,5,4
194,Technology and Living,"Fashion, Clothing and Textiles",Male,Percentage,,,100,0.0%,0.0%,0.0%,0.0%,0.0%,22.2%,55.6%,44.4%
195,Technology and Living,"Fashion, Clothing and Textiles",Female,Number,40,36,,1,1,2,6,18,27,33,3
196,Technology and Living,"Fashion, Clothing and Textiles",Female,Percentage,,,91.7,2.8%,2.8%,5.6%,16.7%,50.0%,75.0%,91.7%,8.3%
197,Technology and Living,"Fashion, Clothing and Textiles",Total,Number,52,45,,1,1,2,6,18,29,38,7
198,Technology and Living,"Fashion, Clothing and Textiles",Total,Percentage,,,93.3,2.2%,2.2%,4.4%,13.3%,40.0%,64.4%,84.4%,15.6%
199,Tourism and Hospitality Studies,,Male,Number,1496,1366,,2,20,57,194,397,965,1211,155
200,Tourism and Hospitality Studies,,Male,Percentage,,,90.6,0.1%,1.5%,4.2%,14.2%,29.1%,70.6%,88.7%,11.3%
201,Tourism and Hospitality Studies,,Female,Number,2101,1982,,13,49,113,376,810,1562,1847,135
202,Tourism and Hospitality Studies,,Female,Percentage,,,85.7,0.7%,2.5%,5.7%,19.0%,40.9%,78.8%,93.2%,6.8%
203,Tourism and Hospitality Studies,,Total,Number,3597,3348,,15,69,170,570,1207,2527,3058,290
204,Tourism and Hospitality Studies,,Total,Percentage,,,87.7,0.4%,2.1%,5.1%,17.0%,36.1%,75.5%,91.3%,8.7%
205,Visual Arts,,Male,Number,866,802,,5,13,34,95,255,552,718,84
206,Visual Arts,,Male,Percentage,,,83.7,0.6%,1.6%,4.2%,11.8%,31.8%,68.8%,89.5%,10.5%
207,Visual Arts,,Female,Number,2564,2467,,17,75,188,654,1377,2174,2400,67
208,Visual Arts,,Female,Percentage,,,82.5,0.7%,3.0%,7.6%,26.5%,55.8%,88.1%,97.3%,2.7%
209,Visual Arts,,Total,Number,3430,3269,,22,88,222,749,1632,2726,3118,151
210,Visual Arts,,Total,Percentage,,,82.8,0.7%,2.7%,6.8%,22.9%,49.9%,83.4%,95.4%,4.6%
211,All Category A subjects#,,Male,Number,140519,133858,,2067,7319,17064,44049,76785,110645,125998,7860
212,All Category A subjects#,,Male,Percentage,,,56.1,1.5%,5.5%,12.7%,32.9%,57.4%,82.7%,94.1%,5.9%
213,All Category A subjects#,,Female,Number,134341,129453,,1565,6679,17329,49807,83645,113213,124619,4834
214,All Category A subjects#,,Female,Percentage,,,51.2,1.2%,5.2%,13.4%,38.5%,64.6%,87.5%,96.3%,3.7%
215,All Category A subjects#,,Total,Number,274860,263311,,3632,13998,34393,93856,160430,223858,250617,12694
216,All Category A subjects#,,Total,Percentage,,,53.7,1.4%,5.3%,13.1%,35.6%,60.9%,85.0%,95.2%,4.8%
