No.,Subject,Subject_2,Gender,Type,No. entered,No. of candidates fulfilling attendance requirement,Attained with Distinction (II),Attained with Distinction (I) or above,Attained or above,Unattained
79,Creative Studies,Computer Game and Animation Design,Male,Number,114,102,3,23,100,2
80,Creative Studies,Computer Game and Animation Design,Male,Percentage,,,2.9%,22.5%,98.0%,2.0%
81,Creative Studies,Computer Game and Animation Design,Female,Number,40,39,7,24,38,1
82,Creative Studies,Computer Game and Animation Design,Female,Percentage,,,17.9%,61.5%,97.4%,2.6%
83,Creative Studies,Computer Game and Animation Design,Total,Number,154,141,10,47,138,3
84,Creative Studies,Computer Game and Animation Design,Total,Percentage,,,7.1%,33.3%,97.9%,2.1%
85,Creative Studies,Digital Comic Design and Production,Male,Number,33,33,6,11,32,1
86,Creative Studies,Digital Comic Design and Production,Male,Percentage,,,18.2%,33.3%,97.0%,3.0%
87,Creative Studies,Digital Comic Design and Production,Female,Number,67,64,7,25,62,2
88,Creative Studies,Digital Comic Design and Production,Female,Percentage,,,10.9%,39.1%,96.9%,3.1%
89,Creative Studies,Digital Comic Design and Production,Total,Number,100,97,13,36,94,3
90,Creative Studies,Digital Comic Design and Production,Total,Percentage,,,13.4%,37.1%,96.9%,3.1%
91,Creative Studies,Display and Jewellery Design,Male,Number,5,4,0,0,4,0
92,Creative Studies,Display and Jewellery Design,Male,Percentage,,,0.0%,0.0%,100.0%,0.0%
93,Creative Studies,Display and Jewellery Design,Female,Number,14,13,1,5,12,1
94,Creative Studies,Display and Jewellery Design,Female,Percentage,,,7.7%,38.5%,92.3%,7.7%
95,Creative Studies,Display and Jewellery Design,Total,Number,19,17,1,5,16,1
96,Creative Studies,Display and Jewellery Design,Total,Percentage,,,5.9%,29.4%,94.1%,5.9%
97,Creative Studies,Fashion Image Design,Male,Number,33,30,1,3,30,0
98,Creative Studies,Fashion Image Design,Male,Percentage,,,3.3%,10.0%,100.0%,0.0%
99,Creative Studies,Fashion Image Design,Female,Number,110,107,9,33,106,1
100,Creative Studies,Fashion Image Design,Female,Percentage,,,8.4%,30.8%,99.1%,0.9%
101,Creative Studies,Fashion Image Design,Total,Number,143,137,10,36,136,1
102,Creative Studies,Fashion Image Design,Total,Percentage,,,7.3%,26.3%,99.3%,0.7%
103,Creative Studies,Interior Design,Male,Number,53,48,1,6,31,17
104,Creative Studies,Interior Design,Male,Percentage,,,2.1%,12.5%,64.6%,35.4%
105,Creative Studies,Interior Design,Female,Number,54,51,7,23,47,4
106,Creative Studies,Interior Design,Female,Percentage,,,13.7%,45.1%,92.2%,7.8%
107,Creative Studies,Interior Design,Total,Number,107,99,8,29,78,21
108,Creative Studies,Interior Design,Total,Percentage,,,8.1%,29.3%,78.8%,21.2%
109,Creative Studies,Taking a Chance on Dance,Male,Number,7,6,1,1,5,1
110,Creative Studies,Taking a Chance on Dance,Male,Percentage,,,16.7%,16.7%,83.3%,16.7%
111,Creative Studies,Taking a Chance on Dance,Female,Number,46,43,4,17,42,1
112,Creative Studies,Taking a Chance on Dance,Female,Percentage,,,9.3%,39.5%,97.7%,2.3%
113,Creative Studies,Taking a Chance on Dance,Total,Number,53,49,5,18,47,2
114,Creative Studies,Taking a Chance on Dance,Total,Percentage,,,10.2%,36.7%,95.9%,4.1%
115,Creative Studies,The Essentials of Theatre Arts,Male,Number,13,13,2,5,13,0
116,Creative Studies,The Essentials of Theatre Arts,Male,Percentage,,,15.4%,38.5%,100.0%,0.0%
117,Creative Studies,The Essentials of Theatre Arts,Female,Number,51,50,9,23,50,0
118,Creative Studies,The Essentials of Theatre Arts,Female,Percentage,,,18.0%,46.0%,100.0%,0.0%
119,Creative Studies,The Essentials of Theatre Arts,Total,Number,64,63,11,28,63,0
120,Creative Studies,The Essentials of Theatre Arts,Total,Percentage,,,17.5%,44.4%,100.0%,0.0%
121,Engineering and Production,Aviation Studies,Male,Number,179,172,13,36,165,7
122,Engineering and Production,Aviation Studies,Male,Percentage,,,7.6%,20.9%,95.9%,4.1%
123,Engineering and Production,Aviation Studies,Female,Number,73,66,5,16,63,3
124,Engineering and Production,Aviation Studies,Female,Percentage,,,7.6%,24.2%,95.5%,4.5%
125,Engineering and Production,Aviation Studies,Total,Number,252,238,18,52,228,10
126,Engineering and Production,Aviation Studies,Total,Percentage,,,7.6%,21.8%,95.8%,4.2%
127,Engineering and Production,Computer Forensic Technology,Male,Number,29,26,3,7,25,1
128,Engineering and Production,Computer Forensic Technology,Male,Percentage,,,11.5%,26.9%,96.2%,3.8%
129,Engineering and Production,Computer Forensic Technology,Female,Number,2,2,0,2,2,0
130,Engineering and Production,Computer Forensic Technology,Female,Percentage,,,0.0%,100.0%,100.0%,0.0%
131,Engineering and Production,Computer Forensic Technology,Total,Number,31,28,3,9,27,1
132,Engineering and Production,Computer Forensic Technology,Total,Percentage,,,10.7%,32.1%,96.4%,3.6%
133,Engineering and Production,Constructing Smart Cities,Male,Number,15,15,2,5,15,0
134,Engineering and Production,Constructing Smart Cities,Male,Percentage,,,13.3%,33.3%,100.0%,0.0%
135,Engineering and Production,Constructing Smart Cities,Female,Number,3,2,2,2,2,0
136,Engineering and Production,Constructing Smart Cities,Female,Percentage,,,100.0%,100.0%,100.0%,0.0%
137,Engineering and Production,Constructing Smart Cities,Total,Number,18,17,4,7,17,0
138,Engineering and Production,Constructing Smart Cities,Total,Percentage,,,23.5%,41.2%,100.0%,0.0%
139,Engineering and Production,Electrical and Energy Engineering,Male,Number,61,58,2,7,56,2
140,Engineering and Production,Electrical and Energy Engineering,Male,Percentage,,,3.4%,12.1%,96.6%,3.4%
141,Engineering and Production,Electrical and Energy Engineering,Female,Number,2,2,0,2,2,0
142,Engineering and Production,Electrical and Energy Engineering,Female,Percentage,,,0.0%,100.0%,100.0%,0.0%
143,Engineering and Production,Electrical and Energy Engineering,Total,Number,63,60,2,9,58,2
144,Engineering and Production,Electrical and Energy Engineering,Total,Percentage,,,3.3%,15.0%,96.7%,3.3%
145,Engineering and Production,Railway Studies,Male,Number,28,28,1,4,25,3
146,Engineering and Production,Railway Studies,Male,Percentage,,,3.6%,14.3%,89.3%,10.7%
147,Engineering and Production,Railway Studies,Female,Number,1,1,0,0,1,0
148,Engineering and Production,Railway Studies,Female,Percentage,,,0.0%,0.0%,100.0%,0.0%
149,Engineering and Production,Railway Studies,Total,Number,29,29,1,4,26,3
150,Engineering and Production,Railway Studies,Total,Percentage,,,3.4%,13.8%,89.7%,10.3%
151,Engineering and Production,Tech Basics,Male,Number,66,60,5,14,57,3
152,Engineering and Production,Tech Basics,Male,Percentage,,,8.3%,23.3%,95.0%,5.0%
153,Engineering and Production,Tech Basics,Female,Number,26,22,0,5,19,3
154,Engineering and Production,Tech Basics,Female,Percentage,,,0.0%,22.7%,86.4%,13.6%
155,Engineering and Production,Tech Basics,Total,Number,92,82,5,19,76,6
156,Engineering and Production,Tech Basics,Total,Percentage,,,6.1%,23.2%,92.7%,7.3%
157,Media and Communication,Creative Advertising,Male,Number,0,0,-,-,-,-
158,Media and Communication,Creative Advertising,Male,Percentage,,,-,-,-,-
159,Media and Communication,Creative Advertising,Female,Number,0,0,-,-,-,-
160,Media and Communication,Creative Advertising,Female,Percentage,,,-,-,-,-
161,Media and Communication,Creative Advertising,Total,Number,0,0,-,-,-,-
162,Media and Communication,Creative Advertising,Total,Percentage,,,-,-,-,-
163,Media and Communication,Film and Transmedia,Male,Number,63,62,6,11,61,1
164,Media and Communication,Film and Transmedia,Male,Percentage,,,9.7%,17.7%,98.4%,1.6%
165,Media and Communication,Film and Transmedia,Female,Number,46,44,7,21,44,0
166,Media and Communication,Film and Transmedia,Female,Percentage,,,15.9%,47.7%,100.0%,0.0%
167,Media and Communication,Film and Transmedia,Total,Number,109,106,13,32,105,1
168,Media and Communication,Film and Transmedia,Total,Percentage,,,12.3%,30.2%,99.1%,0.9%
169,Media and Communication,Magazine Editing and Production,Male,Number,2,2,2,2,2,0
170,Media and Communication,Magazine Editing and Production,Male,Percentage,,,100.0%,100.0%,100.0%,0.0%
171,Media and Communication,Magazine Editing and Production,Female,Number,14,11,1,5,11,0
172,Media and Communication,Magazine Editing and Production,Female,Percentage,,,9.1%,45.5%,100.0%,0.0%
173,Media and Communication,Magazine Editing and Production,Total,Number,16,13,3,7,13,0
174,Media and Communication,Magazine Editing and Production,Total,Percentage,,,23.1%,53.8%,100.0%,0.0%
175,Media and Communication,PR and Multimedia Communication,Male,Number,4,4,2,2,4,0
176,Media and Communication,PR and Multimedia Communication,Male,Percentage,,,50.0%,50.0%,100.0%,0.0%
177,Media and Communication,PR and Multimedia Communication,Female,Number,14,13,2,8,13,0
178,Media and Communication,PR and Multimedia Communication,Female,Percentage,,,15.4%,61.5%,100.0%,0.0%
179,Media and Communication,PR and Multimedia Communication,Total,Number,18,17,4,10,17,0
180,Media and Communication,PR and Multimedia Communication,Total,Percentage,,,23.5%,58.8%,100.0%,0.0%
181,Services,Airport Passenger Terminal Operations,Male,Number,29,26,1,8,20,6
182,Services,Airport Passenger Terminal Operations,Male,Percentage,,,3.8%,30.8%,76.9%,23.1%
183,Services,Airport Passenger Terminal Operations,Female,Number,21,20,1,5,16,4
184,Services,Airport Passenger Terminal Operations,Female,Percentage,,,5.0%,25.0%,80.0%,20.0%
185,Services,Airport Passenger Terminal Operations,Total,Number,50,46,2,13,36,10
186,Services,Airport Passenger Terminal Operations,Total,Percentage,,,4.3%,28.3%,78.3%,21.7%
187,Services,Child Care and Development,Male,Number,1,1,0,0,1,0
188,Services,Child Care and Development,Male,Percentage,,,0.0%,0.0%,100.0%,0.0%
189,Services,Child Care and Development,Female,Number,30,30,5,14,30,0
190,Services,Child Care and Development,Female,Percentage,,,16.7%,46.7%,100.0%,0.0%
191,Services,Child Care and Development,Total,Number,31,31,5,14,31,0
192,Services,Child Care and Development,Total,Percentage,,,16.1%,45.2%,100.0%,0.0%
193,Services,Child Care and Education,Male,Number,8,8,0,0,8,0
194,Services,Child Care and Education,Male,Percentage,,,0.0%,0.0%,100.0%,0.0%
195,Services,Child Care and Education,Female,Number,154,153,12,53,150,3
196,Services,Child Care and Education,Female,Percentage,,,7.8%,34.6%,98.0%,2.0%
197,Services,Child Care and Education,Total,Number,162,161,12,53,158,3
198,Services,Child Care and Education,Total,Percentage,,,7.5%,32.9%,98.1%,1.9%
199,Services,Fundamental Cosmetology,Male,Number,6,3,0,1,2,1
200,Services,Fundamental Cosmetology,Male,Percentage,,,0.0%,33.3%,66.7%,33.3%
201,Services,Fundamental Cosmetology,Female,Number,102,89,6,24,88,1
202,Services,Fundamental Cosmetology,Female,Percentage,,,6.7%,27.0%,98.9%,1.1%
203,Services,Fundamental Cosmetology,Total,Number,108,92,6,25,90,2
204,Services,Fundamental Cosmetology,Total,Percentage,,,6.5%,27.2%,97.8%,2.2%
205,Services,Hospitality Services in Practice,Male,Number,36,34,1,8,29,5
206,Services,Hospitality Services in Practice,Male,Percentage,,,2.9%,23.5%,85.3%,14.7%
207,Services,Hospitality Services in Practice,Female,Number,33,33,4,15,32,1
208,Services,Hospitality Services in Practice,Female,Percentage,,,12.1%,45.5%,97.0%,3.0%
209,Services,Hospitality Services in Practice,Total,Number,69,67,5,23,61,6
210,Services,Hospitality Services in Practice,Total,Percentage,,,7.5%,34.3%,91.0%,9.0%
211,Services,Hotel Operations,Male,Number,38,34,2,3,33,1
212,Services,Hotel Operations,Male,Percentage,,,5.9%,8.8%,97.1%,2.9%
213,Services,Hotel Operations,Female,Number,37,30,1,6,29,1
214,Services,Hotel Operations,Female,Percentage,,,3.3%,20.0%,96.7%,3.3%
215,Services,Hotel Operations,Total,Number,75,64,3,9,62,2
216,Services,Hotel Operations,Total,Percentage,,,4.7%,14.1%,96.9%,3.1%
217,Services,Pâtisserie and Café Operations,Male,Number,92,85,4,12,68,17
218,Services,Pâtisserie and Café Operations,Male,Percentage,,,4.7%,14.1%,80.0%,20.0%
219,Services,Pâtisserie and Café Operations,Female,Number,160,151,13,47,145,6
220,Services,Pâtisserie and Café Operations,Female,Percentage,,,8.6%,31.1%,96.0%,4.0%
221,Services,Pâtisserie and Café Operations,Total,Number,252,236,17,59,213,23
222,Services,Pâtisserie and Café Operations,Total,Percentage,,,7.2%,25.0%,90.3%,9.7%
223,Services,Western Cuisine,Male,Number,229,199,5,22,179,20
224,Services,Western Cuisine,Male,Percentage,,,2.5%,11.1%,89.9%,10.1%
225,Services,Western Cuisine,Female,Number,250,225,14,45,208,17
226,Services,Western Cuisine,Female,Percentage,,,6.2%,20.0%,92.4%,7.6%
227,Services,Western Cuisine,Total,Number,479,424,19,67,387,37
228,Services,Western Cuisine,Total,Percentage,,,4.5%,15.8%,91.3%,8.7%
229,All Category B subjects (except Applied Learning Chinese),,Male,Number,1572,1424,100,305,1291,133
230,All Category B subjects (except Applied Learning Chinese),,Male,Percentage,,,7.0%,21.4%,90.7%,9.3%
231,All Category B subjects (except Applied Learning Chinese),,Female,Number,1773,1658,191,611,1587,71
232,All Category B subjects (except Applied Learning Chinese),,Female,Percentage,,,11.5%,36.9%,95.7%,4.3%
233,All Category B subjects (except Applied Learning Chinese),,Total,Number,3345,3082,291,916,2878,204
234,All Category B subjects (except Applied Learning Chinese),,Total,Percentage,,,9.4%,29.7%,93.4%,6.6%
