No.,Subject,Subject_2,Gender,Type,No. Entered,No. Sat,Chinese Version %,Performance - 5**,Performance - 5*+,Performance - 5+,Performance - 4+,Performance - 3+,Performance - 2+,Performance - 1+,Performance - U
110,Mathematics,Extended Part (Calculus and Statistics),Male,Percentage,,,23.5,3.5%,14.6%,31.6%,55.4%,69.9%,85.9%,94.6%,5.4%
111,Mathematics,Extended Part (Calculus and Statistics),Female,Number,1058,984,,21,106,274,537,715,868,941,43
112,Mathematics,Extended Part (Calculus and Statistics),Female,Percentage,,,16.9,2.1%,10.8%,27.8%,54.6%,72.7%,88.2%,95.6%,4.4%
113,Mathematics,Extended Part (Calculus and Statistics),Total,Number,2645,2404,,70,313,723,1324,1708,2088,2284,120
114,Mathematics,Extended Part (Calculus and Statistics),Total,Percentage,,,20.8,2.9%,13.0%,30.1%,55.1%,71.0%,86.9%,95.0%,5.0%
115,Mathematics,Extended Part (Algebra and Calculus),Male,Number,3549,3225,,168,606,1358,2007,2634,2984,3155,70
116,Mathematics,Extended Part (Algebra and Calculus),Male,Percentage,,,15.1,5.2%,18.8%,42.1%,62.2%,81.7%,92.5%,97.8%,2.2%
117,Mathematics,Extended Part (Algebra and Calculus),Female,Number,1298,1211,,30,133,404,656,956,1121,1191,20
118,Mathematics,Extended Part (Algebra and Calculus),Female,Percentage,,,12.4,2.5%,11.0%,33.4%,54.2%,78.9%,92.6%,98.3%,1.7%
119,Mathematics,Extended Part (Algebra and Calculus),Total,Number,4847,4436,,198,739,1762,2663,3590,4105,4346,90
120,Mathematics,Extended Part (Algebra and Calculus),Total,Percentage,,,14.4,4.5%,16.7%,39.7%,60.0%,80.9%,92.5%,98.0%,2.0%
121,Music,,Male,Number,62,60,,3,9,21,39,55,57,59,1
122,Music,,Male,Percentage,,,5.0,5.0%,15.0%,35.0%,65.0%,91.7%,95.0%,98.3%,1.7%
123,Music,,Female,Number,90,87,,0,5,12,42,75,84,86,1
124,Music,,Female,Percentage,,,10.3,0.0%,5.7%,13.8%,48.3%,86.2%,96.6%,98.9%,1.1%
125,Music,,Total,Number,152,147,,3,14,33,81,130,141,145,2
126,Music,,Total,Percentage,,,8.2,2.0%,9.5%,22.4%,55.1%,88.4%,95.9%,98.6%,1.4%
127,Physical Education,,Male,Number,854,825,,2,7,17,94,308,560,740,85
128,Physical Education,,Male,Percentage,,,88.5,0.2%,0.8%,2.1%,11.4%,37.3%,67.9%,89.7%,10.3%
129,Physical Education,,Female,Number,248,236,,1,3,13,46,117,180,223,13
130,Physical Education,,Female,Percentage,,,81.8,0.4%,1.3%,5.5%,19.5%,49.6%,76.3%,94.5%,5.5%
131,Physical Education,,Total,Number,1102,1061,,3,10,30,140,425,740,963,98
132,Physical Education,,Total,Percentage,,,87.0,0.3%,0.9%,2.8%,13.2%,40.1%,69.7%,90.8%,9.2%
133,Physics,,Male,Number,7234,6724,,219,814,1983,3453,4913,6065,6584,140
134,Physics,,Male,Percentage,,,29.1,3.3%,12.1%,29.5%,51.4%,73.1%,90.2%,97.9%,2.1%
135,Physics,,Female,Number,2812,2642,,37,213,613,1209,1859,2374,2591,51
136,Physics,,Female,Percentage,,,18.8,1.4%,8.1%,23.2%,45.8%,70.4%,89.9%,98.1%,1.9%
137,Physics,,Total,Number,10046,9366,,256,1027,2596,4662,6772,8439,9175,191
138,Physics,,Total,Percentage,,,26.2,2.7%,11.0%,27.7%,49.8%,72.3%,90.1%,98.0%,2.0%
139,Science,"Combined Science (Biology, Chemistry)",Male,Number,104,97,,0,0,2,12,24,50,71,26
140,Science,"Combined Science (Biology, Chemistry)",Male,Percentage,,,100.0,0.0%,0.0%,2.1%,12.4%,24.7%,51.5%,73.2%,26.8%
141,Science,"Combined Science (Biology, Chemistry)",Female,Number,63,61,,0,0,0,5,20,37,48,13
142,Science,"Combined Science (Biology, Chemistry)",Female,Percentage,,,82.0,0.0%,0.0%,0.0%,8.2%,32.8%,60.7%,78.7%,21.3%
143,Science,"Combined Science (Biology, Chemistry)",Total,Number,167,158,,0,0,2,17,44,87,119,39
144,Science,"Combined Science (Biology, Chemistry)",Total,Percentage,,,93.0,0.0%,0.0%,1.3%,10.8%,27.8%,55.1%,75.3%,24.7%
145,Science,"Combined Science (Biology, Physics)",Male,Number,26,25,,0,1,1,8,17,23,25,0
146,Science,"Combined Science (Biology, Physics)",Male,Percentage,,,92.0,0.0%,4.0%,4.0%,32.0%,68.0%,92.0%,100.0%,0.0%
147,Science,"Combined Science (Biology, Physics)",Female,Number,11,10,,0,0,0,2,4,6,7,3
148,Science,"Combined Science (Biology, Physics)",Female,Percentage,,,70.0,0.0%,0.0%,0.0%,20.0%,40.0%,60.0%,70.0%,30.0%
149,Science,"Combined Science (Biology, Physics)",Total,Number,37,35,,0,1,1,10,21,29,32,3
150,Science,"Combined Science (Biology, Physics)",Total,Percentage,,,85.7,0.0%,2.9%,2.9%,28.6%,60.0%,82.9%,91.4%,8.6%
151,Science,"Combined Science (Chemistry, Physics)",Male,Number,84,73,,0,0,0,15,39,56,66,7
152,Science,"Combined Science (Chemistry, Physics)",Male,Percentage,,,78.1,0.0%,0.0%,0.0%,20.5%,53.4%,76.7%,90.4%,9.6%
153,Science,"Combined Science (Chemistry, Physics)",Female,Number,34,32,,0,0,1,7,14,24,27,5
154,Science,"Combined Science (Chemistry, Physics)",Female,Percentage,,,78.1,0.0%,0.0%,3.1%,21.9%,43.8%,75.0%,84.4%,15.6%
155,Science,"Combined Science (Chemistry, Physics)",Total,Number,118,105,,0,0,1,22,53,80,93,12
156,Science,"Combined Science (Chemistry, Physics)",Total,Percentage,,,78.1,0.0%,0.0%,1.0%,21.0%,50.5%,76.2%,88.6%,11.4%
157,Science,Combined Science (Biology),Male,Number,130,122,,1,4,7,25,54,82,103,19
158,Science,Combined Science (Biology),Male,Percentage,,,98.4,0.8%,3.3%,5.7%,20.5%,44.3%,67.2%,84.4%,15.6%
159,Science,Combined Science (Biology),Female,Number,74,71,,0,0,1,15,29,48,60,11
160,Science,Combined Science (Biology),Female,Percentage,,,80.3,0.0%,0.0%,1.4%,21.1%,40.8%,67.6%,84.5%,15.5%
161,Science,Combined Science (Biology),Total,Number,204,193,,1,4,8,40,83,130,163,30
162,Science,Combined Science (Biology),Total,Percentage,,,91.7,0.5%,2.1%,4.1%,20.7%,43.0%,67.4%,84.5%,15.5%
163,Science,Combined Science (Chemistry),Male,Number,188,169,,0,0,1,21,59,97,136,33
164,Science,Combined Science (Chemistry),Male,Percentage,,,90.5,0.0%,0.0%,0.6%,12.4%,34.9%,57.4%,80.5%,19.5%
165,Science,Combined Science (Chemistry),Female,Number,97,93,,0,0,2,12,37,50,73,20
166,Science,Combined Science (Chemistry),Female,Percentage,,,80.6,0.0%,0.0%,2.2%,12.9%,39.8%,53.8%,78.5%,21.5%
167,Science,Combined Science (Chemistry),Total,Number,285,262,,0,0,3,33,96,147,209,53
168,Science,Combined Science (Chemistry),Total,Percentage,,,87.0,0.0%,0.0%,1.1%,12.6%,36.6%,56.1%,79.8%,20.2%
169,Science,Combined Science (Physics),Male,Number,110,94,,2,3,7,20,52,75,92,2
170,Science,Combined Science (Physics),Male,Percentage,,,80.9,2.1%,3.2%,7.4%,21.3%,55.3%,79.8%,97.9%,2.1%
171,Science,Combined Science (Physics),Female,Number,45,42,,0,0,1,7,17,27,33,9
172,Science,Combined Science (Physics),Female,Percentage,,,76.2,0.0%,0.0%,2.4%,16.7%,40.5%,64.3%,78.6%,21.4%
173,Science,Combined Science (Physics),Total,Number,155,136,,2,3,8,27,69,102,125,11
174,Science,Combined Science (Physics),Total,Percentage,,,79.4,1.5%,2.2%,5.9%,19.9%,50.7%,75.0%,91.9%,8.1%
175,Science,Combined Science,Male,Number,214,195,,0,1,3,35,80,129,162,33
176,Science,Combined Science,Male,Percentage,,,90.8,0.0%,0.5%,1.5%,17.9%,41.0%,66.2%,83.1%,16.9%
177,Science,Combined Science,Female,Number,108,103,,0,0,1,14,38,67,82,21
178,Science,Combined Science,Female,Percentage,,,79.6,0.0%,0.0%,1.0%,13.6%,36.9%,65.0%,79.6%,20.4%
179,Science,Combined Science,Total,Number,322,298,,0,1,4,49,118,196,244,54
180,Science,Combined Science,Total,Percentage,,,86.9,0.0%,0.3%,1.3%,16.4%,39.6%,65.8%,81.9%,18.1%
181,Science,Integrated Science,Male,Number,50,43,,0,1,1,7,12,31,40,3
182,Science,Integrated Science,Male,Percentage,,,88.4,0.0%,2.3%,2.3%,16.3%,27.9%,72.1%,93.0%,7.0%
183,Science,Integrated Science,Female,Number,33,31,,1,1,3,8,17,27,31,0
184,Science,Integrated Science,Female,Percentage,,,74.2,3.2%,3.2%,9.7%,25.8%,54.8%,87.1%,100.0%,0.0%
185,Science,Integrated Science,Total,Number,83,74,,1,2,4,15,29,58,71,3
186,Science,Integrated Science,Total,Percentage,,,82.4,1.4%,2.7%,5.4%,20.3%,39.2%,78.4%,95.9%,4.1%
187,Technology and Living,Food Science and Technology,Male,Number,54,49,,0,0,0,2,9,24,41,8
188,Technology and Living,Food Science and Technology,Male,Percentage,,,83.7,0.0%,0.0%,0.0%,4.1%,18.4%,49.0%,83.7%,16.3%
189,Technology and Living,Food Science and Technology,Female,Number,122,117,,1,4,8,34,72,105,115,2
190,Technology and Living,Food Science and Technology,Female,Percentage,,,44.4,0.9%,3.4%,6.8%,29.1%,61.5%,89.7%,98.3%,1.7%
191,Technology and Living,Food Science and Technology,Total,Number,176,166,,1,4,8,36,81,129,156,10
192,Technology and Living,Food Science and Technology,Total,Percentage,,,56.0,0.6%,2.4%,4.8%,21.7%,48.8%,77.7%,94.0%,6.0%
193,Technology and Living,"Fashion, Clothing and Textiles",Male,Number,17,12,,0,0,0,0,1,3,5,7
194,Technology and Living,"Fashion, Clothing and Textiles",Male,Percentage,,,100.0,0.0%,0.0%,0.0%,0.0%,8.3%,25.0%,41.7%,58.3%
195,Technology and Living,"Fashion, Clothing and Textiles",Female,Number,40,35,,0,1,2,11,20,29,32,3
196,Technology and Living,"Fashion, Clothing and Textiles",Female,Percentage,,,82.9,0.0%,2.9%,5.7%,31.4%,57.1%,82.9%,91.4%,8.6%
197,Technology and Living,"Fashion, Clothing and Textiles",Total,Number,57,47,,0,1,2,11,21,32,37,10
198,Technology and Living,"Fashion, Clothing and Textiles",Total,Percentage,,,87.2,0.0%,2.1%,4.3%,23.4%,44.7%,68.1%,78.7%,21.3%
199,Tourism and Hospitality Studies,,Male,Number,1456,1307,,5,13,39,138,380,905,1151,156
200,Tourism and Hospitality Studies,,Male,Percentage,,,88.4,0.4%,1.0%,3.0%,10.6%,29.1%,69.2%,88.1%,11.9%
201,Tourism and Hospitality Studies,,Female,Number,2077,1949,,10,51,121,361,811,1557,1843,106
202,Tourism and Hospitality Studies,,Female,Percentage,,,85.8,0.5%,2.6%,6.2%,18.5%,41.6%,79.9%,94.6%,5.4%
203,Tourism and Hospitality Studies,,Total,Number,3533,3256,,15,64,160,499,1191,2462,2994,262
204,Tourism and Hospitality Studies,,Total,Percentage,,,86.9,0.5%,2.0%,4.9%,15.3%,36.6%,75.6%,92.0%,8.0%
205,Visual Arts,,Male,Number,927,875,,4,14,37,115,295,640,792,83
206,Visual Arts,,Male,Percentage,,,86.4,0.5%,1.6%,4.2%,13.1%,33.7%,73.1%,90.5%,9.5%
207,Visual Arts,,Female,Number,2535,2470,,18,71,178,665,1381,2188,2407,63
208,Visual Arts,,Female,Percentage,,,82.8,0.7%,2.9%,7.2%,26.9%,55.9%,88.6%,97.4%,2.6%
209,Visual Arts,,Total,Number,3462,3345,,22,85,215,780,1676,2828,3199,146
210,Visual Arts,,Total,Percentage,,,83.7,0.7%,2.5%,6.4%,23.3%,50.1%,84.5%,95.6%,4.4%
211,All Category A subjects#,,Male,Number,143640,137191,,1993,7254,17203,45170,78730,113543,129435,7756
212,All Category A subjects#,,Male,Percentage,,,56.3,1.5%,5.3%,12.5%,32.9%,57.4%,82.8%,94.3%,5.7%
213,All Category A subjects#,,Female,Number,138967,134354,,1722,7098,18185,52268,88031,118246,129667,4687
214,All Category A subjects#,,Female,Percentage,,,50.6,1.3%,5.3%,13.5%,38.9%,65.5%,88.0%,96.5%,3.5%
215,All Category A subjects#,,Total,Number,282607,271545,,3715,14352,35388,97438,166761,231789,259102,12443
216,All Category A subjects#,,Total,Percentage,,,53.5,1.4%,5.3%,13.0%,35.9%,61.4%,85.4%,95.4%,4.6%
