No,Subject,Subject_2,Gender,Type,"No.
entered",No. sat,"Chinese version
%",Performance -  5**,Performance -  5*+,Performance -  5+,Performance -  4+,Performance -  3+,Performance -  2+,Performance -  1+,Performance -  U
128,Physical Education,,Male,Percentage,,,89.9,0.0%,0.1%,1.3%,8.2%,34.6%,69.4%,92.3%,7.7%
129,Physical Education,,Female,Number,218,216,,1,4,8,32,94,155,204,12
130,Physical Education,,Female,Percentage,,,81.9,0.5%,1.9%,3.7%,14.8%,43.5%,71.8%,94.4%,5.6%
131,Physical Education,,Total,Number,1004,981,,1,5,18,95,359,686,910,71
132,Physical Education,,Total,Percentage,,,88.2,0.1%,0.5%,1.8%,9.7%,36.6%,69.9%,92.8%,7.2%
133,Physics,,Male,Number,7839,7622,,215,845,2045,3816,5570,6872,7461,161
134,Physics,,Male,Percentage,,,30.2,2.8%,11.1%,26.8%,50.1%,73.1%,90.2%,97.9%,2.1%
135,Physics,,Female,Number,2992,2933,,43,209,619,1371,2171,2664,2880,53
136,Physics,,Female,Percentage,,,17.4,1.5%,7.1%,21.1%,46.7%,74.0%,90.8%,98.2%,1.8%
137,Physics,,Total,Number,10831,10555,,258,1054,2664,5187,7741,9536,10341,214
138,Physics,,Total,Percentage,,,26.6,2.4%,10.0%,25.2%,49.1%,73.3%,90.3%,98.0%,2.0%
139,Science,"Combined Science (Biology,  Chemistry)",Male,Number,207,194,,0,0,0,13,54,110,165,29
140,Science,"Combined Science (Biology,  Chemistry)",Male,Percentage,,,96.9,0.0%,0.0%,0.0%,6.7%,27.8%,56.7%,85.1%,14.9%
141,Science,"Combined Science (Biology,  Chemistry)",Female,Number,166,163,,0,1,3,19,57,107,144,19
142,Science,"Combined Science (Biology,  Chemistry)",Female,Percentage,,,80.4,0.0%,0.6%,1.8%,11.7%,35.0%,65.6%,88.3%,11.7%
143,Science,"Combined Science (Biology,  Chemistry)",Total,Number,373,357,,0,1,3,32,111,217,309,48
144,Science,"Combined Science (Biology,  Chemistry)",Total,Percentage,,,89.4,0.0%,0.3%,0.8%,9.0%,31.1%,60.8%,86.6%,13.4%
145,Science,"Combined Science (Biology, Physics)",Male,Number,25,25,,0,1,1,5,15,18,21,4
146,Science,"Combined Science (Biology, Physics)",Male,Percentage,,,100.0,0.0%,4.0%,4.0%,20.0%,60.0%,72.0%,84.0%,16.0%
147,Science,"Combined Science (Biology, Physics)",Female,Number,7,7,,0,0,0,2,3,4,6,1
148,Science,"Combined Science (Biology, Physics)",Female,Percentage,,,100.0,0.0%,0.0%,0.0%,28.6%,42.9%,57.1%,85.7%,14.3%
149,Science,"Combined Science (Biology, Physics)",Total,Number,32,32,,0,1,1,7,18,22,27,5
150,Science,"Combined Science (Biology, Physics)",Total,Percentage,,,100.0,0.0%,3.1%,3.1%,21.9%,56.3%,68.8%,84.4%,15.6%
151,Science,"Combined Science (Chemistry, Physics)",Male,Number,250,237,,1,3,6,56,120,168,211,26
152,Science,"Combined Science (Chemistry, Physics)",Male,Percentage,,,78.1,0.4%,1.3%,2.5%,23.6%,50.6%,70.9%,89.0%,11.0%
153,Science,"Combined Science (Chemistry, Physics)",Female,Number,101,99,,0,2,3,20,39,67,86,13
154,Science,"Combined Science (Chemistry, Physics)",Female,Percentage,,,78.8,0.0%,2.0%,3.0%,20.2%,39.4%,67.7%,86.9%,13.1%
155,Science,"Combined Science (Chemistry, Physics)",Total,Number,351,336,,1,5,9,76,159,235,297,39
156,Science,"Combined Science (Chemistry, Physics)",Total,Percentage,,,78.3,0.3%,1.5%,2.7%,22.6%,47.3%,69.9%,88.4%,11.6%
157,Science,Combined Science (Biology),Male,Number,232,219,,0,1,2,29,78,149,195,24
158,Science,Combined Science (Biology),Male,Percentage,,,97.3,0.0%,0.5%,0.9%,13.2%,35.6%,68.0%,89.0%,11.0%
159,Science,Combined Science (Biology),Female,Number,173,170,,1,2,4,22,64,120,156,14
160,Science,Combined Science (Biology),Female,Percentage,,,81.2,0.6%,1.2%,2.4%,12.9%,37.6%,70.6%,91.8%,8.2%
161,Science,Combined Science (Biology),Total,Number,405,389,,1,3,6,51,142,269,351,38
162,Science,Combined Science (Biology),Total,Percentage,,,90.2,0.3%,0.8%,1.5%,13.1%,36.5%,69.2%,90.2%,9.8%
163,Science,Combined Science (Chemistry),Male,Number,457,431,,0,2,6,65,165,250,352,79
164,Science,Combined Science (Chemistry),Male,Percentage,,,86.5,0.0%,0.5%,1.4%,15.1%,38.3%,58.0%,81.7%,18.3%
165,Science,Combined Science (Chemistry),Female,Number,267,262,,1,3,7,46,101,156,223,39
166,Science,Combined Science (Chemistry),Female,Percentage,,,79.8,0.4%,1.1%,2.7%,17.6%,38.5%,59.5%,85.1%,14.9%
167,Science,Combined Science (Chemistry),Total,Number,724,693,,1,5,13,111,266,406,575,118
168,Science,Combined Science (Chemistry),Total,Percentage,,,84.0,0.1%,0.7%,1.9%,16.0%,38.4%,58.6%,83.0%,17.0%
169,Science,Combined Science (Physics),Male,Number,275,262,,3,9,21,73,132,184,234,28
170,Science,Combined Science (Physics),Male,Percentage,,,80.2,1.1%,3.4%,8.0%,27.9%,50.4%,70.2%,89.3%,10.7%
171,Science,Combined Science (Physics),Female,Number,108,106,,1,3,7,18,36,72,97,9
172,Science,Combined Science (Physics),Female,Percentage,,,80.2,0.9%,2.8%,6.6%,17.0%,34.0%,67.9%,91.5%,8.5%
173,Science,Combined Science (Physics),Total,Number,383,368,,4,12,28,91,168,256,331,37
174,Science,Combined Science (Physics),Total,Percentage,,,80.2,1.1%,3.3%,7.6%,24.7%,45.7%,69.6%,89.9%,10.1%
175,Science,Combined Science,Male,Number,482,456,,1,4,7,74,189,296,397,59
176,Science,Combined Science,Male,Percentage,,,87.3,0.2%,0.9%,1.5%,16.2%,41.4%,64.9%,87.1%,12.9%
177,Science,Combined Science,Female,Number,274,269,,0,3,6,41,99,178,236,33
178,Science,Combined Science,Female,Percentage,,,80.3,0.0%,1.1%,2.2%,15.2%,36.8%,66.2%,87.7%,12.3%
179,Science,Combined Science,Total,Number,756,725,,1,7,13,115,288,474,633,92
180,Science,Combined Science,Total,Percentage,,,84.7,0.1%,1.0%,1.8%,15.9%,39.7%,65.4%,87.3%,12.7%
181,Science,Integrated Science,Male,Number,63,62,,0,0,2,11,23,43,55,7
182,Science,Integrated Science,Male,Percentage,,,79.0,0.0%,0.0%,3.2%,17.7%,37.1%,69.4%,88.7%,11.3%
183,Science,Integrated Science,Female,Number,38,37,,1,4,8,14,28,36,36,1
184,Science,Integrated Science,Female,Percentage,,,32.4,2.7%,10.8%,21.6%,37.8%,75.7%,97.3%,97.3%,2.7%
185,Science,Integrated Science,Total,Number,101,99,,1,4,10,25,51,79,91,8
186,Science,Integrated Science,Total,Percentage,,,61.6,1.0%,4.0%,10.1%,25.3%,51.5%,79.8%,91.9%,8.1%
187,Technology and Living,Food Science and Technology,Male,Number,29,28,,0,0,0,0,1,13,26,2
188,Technology and Living,Food Science and Technology,Male,Percentage,,,100.0,0.0%,0.0%,0.0%,0.0%,3.6%,46.4%,92.9%,7.1%
189,Technology and Living,Food Science and Technology,Female,Number,147,145,,1,2,6,33,78,117,140,5
190,Technology and Living,Food Science and Technology,Female,Percentage,,,60.0,0.7%,1.4%,4.1%,22.8%,53.8%,80.7%,96.6%,3.4%
191,Technology and Living,Food Science and Technology,Total,Number,176,173,,1,2,6,33,79,130,166,7
192,Technology and Living,Food Science and Technology,Total,Percentage,,,66.5,0.6%,1.2%,3.5%,19.1%,45.7%,75.1%,96.0%,4.0%
193,Technology and Living,"Fashion, Clothing and Textiles",Male,Number,4,4,,0,0,0,0,0,2,2,2
194,Technology and Living,"Fashion, Clothing and Textiles",Male,Percentage,,,100.0,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,50.0%,50.0%
195,Technology and Living,"Fashion, Clothing and Textiles",Female,Number,39,37,,1,1,2,7,17,29,35,2
196,Technology and Living,"Fashion, Clothing and Textiles",Female,Percentage,,,70.3,2.7%,2.7%,5.4%,18.9%,45.9%,78.4%,94.6%,5.4%
197,Technology and Living,"Fashion, Clothing and Textiles",Total,Number,43,41,,1,1,2,7,17,31,37,4
198,Technology and Living,"Fashion, Clothing and Textiles",Total,Percentage,,,73.2,2.4%,2.4%,4.9%,17.1%,41.5%,75.6%,90.2%,9.8%
199,Tourism and Hospitality Studies,,Male,Number,1351,1253,,4,16,44,143,357,850,1121,132
200,Tourism and Hospitality Studies,,Male,Percentage,,,90.4,0.3%,1.3%,3.5%,11.4%,28.5%,67.8%,89.5%,10.5%
201,Tourism and Hospitality Studies,,Female,Number,2208,2160,,13,48,113,382,857,1712,2054,106
202,Tourism and Hospitality Studies,,Female,Percentage,,,86.9,0.6%,2.2%,5.2%,17.7%,39.7%,79.3%,95.1%,4.9%
203,Tourism and Hospitality Studies,,Total,Number,3559,3413,,17,64,157,525,1214,2562,3175,238
204,Tourism and Hospitality Studies,,Total,Percentage,,,88.2,0.5%,1.9%,4.6%,15.4%,35.6%,75.1%,93.0%,7.0%
205,Visual Arts,,Male,Number,889,849,,3,12,28,121,316,645,797,52
206,Visual Arts,,Male,Percentage,,,89.6,0.4%,1.4%,3.3%,14.3%,37.2%,76.0%,93.9%,6.1%
207,Visual Arts,,Female,Number,2710,2675,,17,71,185,682,1488,2367,2625,50
208,Visual Arts,,Female,Percentage,,,84.4,0.6%,2.7%,6.9%,25.5%,55.6%,88.5%,98.1%,1.9%
209,Visual Arts,,Total,Number,3599,3524,,20,83,213,803,1804,3012,3422,102
210,Visual Arts,,Total,Percentage,,,85.7,0.6%,2.4%,6.0%,22.8%,51.2%,85.5%,97.1%,2.9%
211,All Category A subjects,,Male,Number,150806,147561,,1801,6854,16486,46674,84228,121561,139372,8189
212,All Category A subjects,,Male,Percentage,,,58.7,1.2%,4.6%,11.2%,31.6%,57.1%,82.4%,94.5%,5.5%
213,All Category A subjects,,Female,Number,151944,150288,,1835,7396,19130,58863,100483,133057,145744,4544
214,All Category A subjects,,Female,Percentage,,,50.7,1.2%,4.9%,12.7%,39.2%,66.9%,88.5%,97.0%,3.0%
215,All Category A subjects,,Total,Number,302750,297849,,3636,14250,35616,105537,184711,254618,285116,12733
216,All Category A subjects,,Total,Percentage,,,54.7,1.2%,4.8%,12.0%,35.4%,62.0%,85.5%,95.7%,4.3%
